Dept_analytics_id,Date,Year,Month,Quarter,Day_of_week,Is_weekend,Hospital_id,Hospital_name,Department_id,Department_name,Department_type,Floor_number,Is_24x7,Established_year,Department_head_name,Total_beds,Occupied_beds_count,Bed_occupancy_rate_pct,Target_occupancy_rate_pct,Patients_admitted_count,Patients_discharged_count,Readmission_count,Readmission_rate_pct,Target_readmission_rate_pct,Mortality_count,Mortality_rate_pct,Avg_length_of_stay_days,Target_avg_los_days,Avg_treatment_time_hours,Transfer_events_count,Bed_turnaround_time_hours,Nurses_on_duty,Doctors_on_duty,Base_nurses_per_shift,Base_doctors_per_shift,Staff_to_patient_ratio,Equipment_downtime_hours,Avg_patient_age,Avg_satisfaction_score,Total_billing_usd,Avg_cost_per_patient_usd,Monthly_budget_allocated_usd,Department_efficiency_score,Record_source_system,Last_updated_timestamp
DA00116235,2024-04-11,2024,4,2,Thursday,False,H005,Metro city hospital,D04,Oncology,Non-surgical,4,False,2001,Dr. Carlos Ivanov,46,36,78.26,86.68,2,4,2,100.0,11.57,0,0.0,4,3.87,58.76,4,0.78,5,3,7,4,0.14,0.14,49,2.0,4131.26,2065.63,175431.27,0.0,Analytics-etl,2024-04-12
DA00092491,2024-04-05,2024,4,2,Friday,False,H004,Sunrise health institute,D06,General surgery,Surgical,4,False,2007,Dr. Elena Brown,30,22,73.33,84.65,1,1,0,0.0,9.41,0,0.0,5,5.69,49.2,4,3.23,5,5,3,5,0.23,0.16,19,5.0,6515.81,6515.81,94570.59,60.7,Analytics-etl,2024-04-06
DA00097464,2022-11-17,2022,11,4,Thursday,False,H004,Sunrise health institute,D09,Nephrology,Non-surgical,4,False,2000,Dr. Ivan Rossi,51,35,68.63,82.74,3,1,2,66.67,7.68,0,0.0,6,6.17,79.02,4,1.47,3,6,3,5,0.09,0.49,38,6.0,30686.79,10228.93,231074.98,0.0,Analytics-etl,2022-11-19
DA00225118,2022-06-04,2022,6,2,Saturday,True,H009,Pinecrest general hospital,D04,Oncology,Non-surgical,3,False,2015,Dr. Liam Ivanov,29,17,58.62,81.22,1,2,0,0.0,12.56,0,0.0,9,5.67,67.68,3,0.2,5,4,7,4,0.29,0.36,8,3.0,18952.22,18952.22,378377.47,42.3,Analytics-etl,2022-06-08
DA00054680,2025-09-22,2025,9,3,Monday,False,H002,Lakeview medical center,D15,Urology,Surgical,2,True,2005,Dr. Nadia Chen,42,28,66.67,71.1,2,1,2,100.0,8.72,0,0.0,7,5.8,119.76,6,1.1,4,4,6,5,0.14,0.14,37,1.0,22770.44,11385.22,221023.35,0.0,Manual aggregation,2025-09-24
DA00050901,2025-05-18,2025,5,2,Sunday,True,H002,Lakeview medical center,D13,Icu,Critical,7,True,2011,Dr. Aisha Muller,26,29,111.54,85.21,2,5,2,100.0,7.81,0,0.0,4,3.17,80.22,7,5.73,5,5,7,5,0.17,0.05,66,5.0,17356.99,8678.49,264016.89,0.0,Bi-warehouse,2025-05-19
DA00139573,2023-03-08,2023,3,1,Wednesday,False,H006,Green valley hospital,D02,Orthopedics,Surgical,7,False,2009,Dr. James Ahmed,46,33,71.74,74.57,0,2,0,0.0,11.52,0,0.0,5,6.02,82.45,3,4.87,13,2,11,3,0.39,0.34,47,3.3,13396.73,8362.74,321713.1,80.5,Analytics-etl,2023-03-10
DA00123470,2024-02-02,2024,2,1,Friday,False,H005,Metro city hospital,D08,Obstetrics & gynecology,Surgical,2,False,2012,Dr. Priya Smith,41,34,82.93,86.58,2,1,1,50.0,12.62,0,0.0,6,2.51,62.7,3,5.53,2,3,4,2,0.06,0.42,47,3.0,19588.83,9794.42,380002.24,23.2,Manual aggregation,2024-02-04
DA00066791,2023-11-21,2023,11,4,Tuesday,False,H003,Riverside community hospital,D07,Emergency,Critical,7,True,2018,Dr. Noah Smith,24,17,70.83,87.7,1,1,1,100.0,9.43,0,0.0,3,3.42,72.0,3,2.05,13,6,12,5,0.76,0.08,34,3.3,4682.6,4682.6,127074.9,0.0,Manual aggregation,2023-11-24
DA00051264,2021-05-16,2021,5,2,Sunday,True,H002,Lakeview medical center,D14,General medicine,Non-surgical,6,True,2013,Dr. Liam Reddy,48,32,66.67,73.61,0,1,0,0.0,13.5,0,0.0,5,5.5,67.68,1,1.25,7,1,10,1,0.22,0.81,47,3.3,13396.73,8362.74,609751.66,73.9,Manual aggregation,2021-05-20
DA00219911,2023-03-02,2023,3,1,Thursday,False,H009,Pinecrest general hospital,D01,Cardiology,Non-surgical,8,False,2005,Dr. Grace Ali,25,20,80.0,78.46,1,4,0,0.0,9.63,0,0.0,6,4.37,97.27,4,3.41,13,3,13,3,0.65,0.02,49,3.3,13135.44,13135.44,517418.07,57.6,Analytics-etl,2023-03-05
DA00187494,2024-05-26,2024,5,2,Sunday,True,H007,Unity regional medical center,D13,Icu,Critical,8,True,1998,Dr. Yusuf Kumar,25,19,76.0,70.71,3,1,2,66.67,13.05,0,0.0,2,2.59,45.09,7,2.69,12,6,12,5,0.63,0.2,47,1.0,4927.59,1642.53,107479.77,9.6,Analytics-etl,2024-05-29
DA00237780,2022-02-04,2022,2,1,Friday,False,H009,Pinecrest general hospital,D11,Gastroenterology,Non-surgical,8,True,2002,Dr. Aisha Ahmed,39,31,79.49,71.63,2,0,1,50.0,8.97,0,0.0,2,4.56,29.09,4,1.55,7,2,7,2,0.23,0.0,37,2.5,6848.9,3424.45,627702.22,19.0,Bi-warehouse,2022-02-08
DA00065194,2024-07-07,2024,7,3,Sunday,True,H003,Riverside community hospital,D06,General surgery,Surgical,3,False,2014,Dr. James Smith,39,23,58.97,80.74,1,1,1,100.0,13.39,0,0.0,7,3.54,127.48,1,3.46,7,4,9,5,0.3,0.56,40,2.0,0.0,0.0,434718.25,0.0,Analytics-etl,2024-07-11
DA00060893,2022-09-27,2022,9,3,Tuesday,False,H003,Riverside community hospital,D04,Oncology,Non-surgical,3,False,2003,Dr. Ivan Smith,42,23,54.76,78.72,0,3,0,0.0,8.35,0,0.0,5,4.59,67.68,2,3.3,10,5,10,4,0.43,1.96,47,3.3,13396.73,8362.74,235106.6,72.8,Analytics-etl,2022-09-28
