dept_analytics_id,date,year,month,quarter,day_of_week,is_weekend,hospital_id,hospital_name,department_id,department_name,department_type,floor_number,is_24x7,established_year,department_head_name,total_beds,occupied_beds_count,bed_occupancy_rate_pct,target_occupancy_rate_pct,patients_admitted_count,patients_discharged_count,readmission_count,readmission_rate_pct,target_readmission_rate_pct,mortality_count,mortality_rate_pct,avg_length_of_stay_days,target_avg_los_days,avg_treatment_time_hours,transfer_events_count,bed_turnaround_time_hours,nurses_on_duty,doctors_on_duty,base_nurses_per_shift,base_doctors_per_shift,staff_to_patient_ratio,equipment_downtime_hours,avg_patient_age,avg_satisfaction_score,total_billing_usd,avg_cost_per_patient_usd,monthly_budget_allocated_usd,department_efficiency_score,record_source_system,last_updated_timestamp
DA00116235,2024-04-11,2024,4,2,Thursday,False,H005,Metro City Hospital,D04,Oncology,Non-Surgical,4,False,2001,Dr. Carlos Ivanov,46,36,78.26,86.67757857949698,2.0,4.0,2.0,100.0,11.565964338455462,0.0,0.0,4.5,3.872403898714841,58.76,4.0,0.78,5,3,7,4,0.14,0.14,49.5,2.0,4131.26,2065.63,175431.27078621837,0.0,Analytics-ETL,2024-04-12
DA00092491,2024-04-05,2024,4,2,Friday,False,H004,Sunrise Health Institute,D06,General Surg,Surgical,4,False,2007,Dr. Elena Brown,30,22,73.33,84.64593891298816,1.0,1.0,0.0,0.0,9.408347844072996,0.0,0.0,5.0,5.685671984951005,49.2,4.0,3.23,5,5,3,5,0.23,0.16,19.0,5.0,6515.81,6515.81,94570.58681809844,60.7,Analytics-ETL,2024-04-06
DA00097464,2022-11-17,2022,11,4,Thursday,False,H004,Sunrise Health Institute,D09,Nephrology,Non-Surgical,4,False,2000,Dr. Ivan Rossi,51,35,68.63,82.74438004441926,3.0,1.0,2.0,66.67,7.677362009058505,0.0,0.0,6.666666666666667,6.170942661572416,79.02333333333333,4.0,1.47,3,6,3,5,0.09,0.49,38.5,6.0,30686.79,10228.93,231074.98029482536,0.0,Analytics-ETL,2022-11-19
DA00225118,2022-06-04,2022,6,2,Saturday,True,H009,Pinecrest General Hospital,D04,Onco,Non-Surgical,3,False,2015,Dr. Liam Ivanov,29,17,58.62,81.2243463055233,1.0,2.0,0.0,0.0,12.560278918562783,0.0,0.0,9.0,5.670489600585452,,3.0,0.2,5,4,7,4,0.29,0.36,8.0,3.0,18952.22,18952.22,378377.47478782607,42.3,Analytics-ETL,2022-06-08
DA00054680,2025-09-22,2025,9,3,Monday,False,H002,Lakeview Medical Center,D15,Urology Dept,SURGICAL,2,True,2005,Dr. Nadia Chen,42,28,66.67,71.10005884347885,2.0,1.0,2.0,100.0,8.715063054283831,0.0,0.0,7.5,5.801750175088836,119.762,6.0,1.1,4,4,6,5,0.14,0.14,37.0,1.0,22770.44,11385.22,221023.3499216563,0.0,Manual Aggregation,2025-09-24
DA00050901,2025-05-18,2025,5,2,Sunday,True,H002,Lakeview Medical Center,D13,icu,Critical,7,True,2011,Dr. Aisha Muller,26,29,111.54,85.21265182062483,2.0,5.0,2.0,100.0,7.812237049133905,0.0,0.0,4.5,3.171052498183004,80.2225,7.0,5.73,5,5,7,5,0.17,0.05,66.0,5.0,17356.989999999998,8678.49,264016.89364691946,0.0,BI-Warehouse,2025-05-19
DA00139573,2023-03-08,2023,3,1,Wednesday,False,H006,Green Valley Hospital,D02,orthopedics,Surgical,7,False,2009,Dr. James Ahmed,46,33,71.74,74.57195249236543,0.0,2.0,0.0,,11.515312282588267,0.0,,,6.019045593570219,82.45,3.0,4.87,13,2,11,3,0.39,0.34,,,,,321713.0972074904,80.5,Analytics-ETL,2023-03-10
DA00123470,2024-02-02,2024,2,1,Friday,False,H005,Metro City Hospital,D08,Obstetrics & Gynecology,Surgical,2,False,2012,Dr. Priya Smith,41,34,82.93,86.5783787267215,2.0,1.0,1.0,50.0,12.62041039385926,0.0,0.0,6.5,2.507822229937417,62.7,3.0,5.53,2,3,4,2,0.06,0.42,,3.0,19588.83,9794.42,380002.2393649855,23.2,Manual Aggregation,2024-02-04
DA00066791,2023-11-21,2023,11,4,Tuesday,False,H003,Riverside Community Hospital,D07,Emergency Medicine,Critical,7,True,2018,Dr. Noah Smith,24,17,70.83,87.69907255843346,1.0,1.0,1.0,100.0,9.431967083219035,0.0,0.0,3.0,3.420082623183856,72.0,3.0,2.05,13,6,12,5,0.76,0.08,34.0,,4682.6,4682.6,127074.90232519971,0.0,Manual Aggregation,2023-11-24
DA00051264,2021-05-16,2021,5,2,Sunday,True,H002,Lakeview Medical Center,D14,Gen. Medicine,Non-Surgical,6,True,2013,Dr. Liam Reddy,48,32,66.67,73.61278739667927,0.0,1.0,0.0,,13.501949485350522,0.0,,,5.49900525172529,,1.0,1.25,7,1,10,1,0.22,0.81,,,,,609751.6600071801,73.9,Manual Aggregation,2021-05-20
DA00219911,2023-03-02,2023,3,1,Thursday,False,H009,Pinecrest General Hospital,D01,Cardiology,Non-Surgical,8,False,2005,Dr. Grace Ali,25,20,80.0,78.45763805488406,1.0,4.0,0.0,0.0,9.628097839521828,0.0,0.0,6.0,4.366131210031929,97.27,4.0,3.41,13,3,13,3,0.65,0.02,49.0,,13135.44,13135.44,517418.0671424479,57.6,Analytics-ETL,2023-03-05
DA00187494,2024-05-26,2024,5,2,Sunday,True,H007,Unity Regional Medical Center,D13,I.C.U.,Critical,8,True,1998,Dr. Yusuf Kumar,25,19,76.0,70.71142173920109,3.0,1.0,2.0,66.67,13.04605154179172,0.0,0.0,2.333333333333333,2.5943346469764843,45.086,7.0,2.69,12,6,12,5,0.63,0.2,47.0,1.0,4927.59,1642.53,107479.76996475836,9.6,Analytics-ETL,2024-05-29
DA00237780,2022-02-04,2022,2,1,Friday,False,H009,Pinecrest General Hospital,D11,GASTRO,Non-Surgical,8,True,2002,Dr. Aisha Ahmed,39,31,79.49,71.63341491602044,2.0,0.0,1.0,50.0,8.974241200173928,0.0,0.0,2.0,4.562011695345227,29.08666666666667,4.0,1.55,7,2,7,2,0.23,0.0,37.0,2.5,6848.9,3424.45,627702.2200980261,19.0,BI-Warehouse,2022-02-08
