resource_utilization_id,date,year,month,quarter,day_of_week,is_weekend,hospital_id,hospital_name,department_id,department_name,resource_type,resource_category,total_units_available,units_in_use,units_under_maintenance,utilization_rate_pct,shortage_flag,capacity_hours,utilized_hours,idle_hours,downtime_hours,nurses_on_duty_snapshot,doctors_on_duty_snapshot,overtime_hours,avg_response_time_minutes,cost_per_day_usd,resource_condition,maintenance_due_flag,last_maintenance_date,planned_capacity_next_month,record_source_system,last_updated_timestamp
RU00046798,2024-04-26,2024,4,2,Friday,False,H008,Horizon Care Hospital,D15,Urology,Bed,Inpatient Bed,33,28,1.0,84.85,False,792,647.8,120.2,24.0,,,,,12492.44,Needs Repair,True,2024-04-14,35.0,Analytics-ETL,2024-04-28
RU00657417,2025-04-01,2025,4,2,Tuesday,False,H006,Green Valley Hospital,D05,Pediatrics,Clinical Staff,Nurses & Doctors,15,13,,86.67,False,120,104.0,16.0,,10.0,3.0,3.8,11.2,3924.07,,False,2024-10-21,16.0,Manual Log,2025-04-02
RU00445663,2023-05-12,2023,5,2,Friday,False,H007,Unity Regional Medical Center,D15,Urology,Equipment,Urology Scopes,19,11,2.0,57.89,False,456,209.0,246.2,0.84,,,,10.7,3879.8,Good,False,2022-12-12,20.0,Analytics-ETL,2023-05-13
RU00203003,2022-01-08,2022,1,1,Saturday,True,H002,Lakeview Medical Center,D13,ICU,Bed,Inpatient Bed,26,16,3.0,61.54,False,624,369.4,182.6,72.0,,,,,5832.61,Functional,True,2021-10-12,27.0,Analytics-ETL,2022-01-11
RU00510552,2025-08-06,2025,8,3,Wednesday,False,H006,Green Valley Hospital,D13,ICU,Equipment,Ventilators,30,14,0.0,46.67,False,720,295.1,424.8,0.1,,,,11.1,5502.6,Fair,False,2025-04-24,32.0,Analytics-ETL,2025-08-09
RU00019855,2023-08-09,2023,8,3,Wednesday,False,H004,Sunrise Health Institute,D14,General Medicine,Bed,Inpatient Bed,26,18,3.0,69.23,False,624,412.8,139.2,72.0,,,,,8264.46,Functional,True,,26.0,Facilities-Mgmt-System,2023-08-11
RU00176274,2022-11-24,2022,11,4,Thursday,False,H009,Pinecrest General Hospital,D11,Gastroenterology,Bed,Inpatient Bed,39,27,1.0,69.23,False,936,607.3,304.7,24.0,,,,,8400.39,Functional,True,2022-07-18,40.0,Facilities-Mgmt-System,2022-11-25
RU00003323,2021-06-26,2021,6,2,Saturday,True,H007,Unity Regional Medical Center,D11,Gastroenterology,Bed,Inpatient Bed,20,14,3.0,70.0,False,480,322.0,86.0,72.0,,,,,3560.49,Functional,True,2021-03-11,21.0,Facilities-Mgmt-System,2021-06-29
RU00410201,2023-04-14,2023,4,2,Friday,False,H008,Horizon Care Hospital,D04,Oncology,Equipment,Chemotherapy Infusion Pumps,14,7,1.0,50.0,False,336,141.0,192.6,2.39,,,,12.4,756.98,Needs Replacement,False,2023-01-11,14.0,Analytics-ETL,2023-04-18
RU00365045,2022-04-09,2022,4,2,Saturday,True,H008,Horizon Care Hospital,D10,Pulmonology,Equipment,Ventilators,14,8,1.0,57.14,False,336,162.9,172.8,0.26,,,,17.0,1697.64,Fair,False,2021-11-17,14.0,Analytics-ETL,2022-04-11
