doctor_id,employee_id,specialization,qualification,experience_years
1,3,Orthopedics,Dm,31
2,9,Pediatrics,Ms,7
3,13,Neurology,Ms,21
4,25,Surgery,Ms,25
5,26,Neurology,Mbbs,5
6,29,Orthopedics,Md,17
7,31,General Medicine,Ms,24
8,33,Pulmonology,Mbbs,12
9,48,Pulmonology,Mbbs,1
10,51,Pediatrics,Ms,6
11,57,General Medicine,Ms,25
12,61,Pulmonology,Ms,26
13,70,General Medicine,Ms,31
14,73,Cardiology,Md,13
15,74,General Medicine,Dm,22
16,75,Pulmonology,Ms,29
17,77,Nephrology,Mbbs,34
18,82,Icu,Md,4
19,92,Icu,Dm,3
20,96,Pulmonology,Dm,10
21,107,Neurology,Ms,24
22,110,Orthopedics,Dm,21
23,117,Surgery,Ms,1
24,120,Orthopedics,Ms,19
25,128,Surgery,Dm,18
26,145,Nephrology,Mbbs,21
27,151,Orthopedics,Mbbs,11
28,152,Pulmonology,Ms,1
29,157,General Medicine,Dm,31
30,165,Cardiology,Dm,21
31,166,Pediatrics,Mbbs,10
32,171,Orthopedics,Dm,5
33,176,Icu,Dm,28
34,184,Cardiology,Dm,11
35,185,Neurology,Ms,14
36,187,Icu,Md,3
37,189,General Medicine,Mbbs,8
38,193,Icu,Md,19
39,197,General Medicine,Mbbs,14
40,204,Neurology,Md,35
41,206,Pulmonology,Dm,35
42,207,Cardiology,Dm,28
43,212,Icu,Ms,18
44,213,Icu,Md,14
45,219,General Medicine,Md,15
46,225,Pediatrics,Mbbs,5
47,227,Cardiology,Dm,9
48,228,Orthopedics,Dm,23
49,232,Neurology,Ms,22
50,233,Neurology,Dm,14
51,244,Nephrology,Dm,3
52,249,Orthopedics,Dm,3
53,250,General Medicine,Mbbs,23
54,253,Orthopedics,Mbbs,14
55,255,Neurology,Dm,4
56,262,Neurology,Mbbs,10
57,265,Icu,Mbbs,2
58,283,Nephrology,Dm,31
59,291,Surgery,Md,25
60,301,Pulmonology,Md,32
61,319,Cardiology,Mbbs,13
62,321,Cardiology,Ms,16
63,327,Nephrology,Ms,32
64,337,Pediatrics,Mbbs,29
65,346,Surgery,Dm,2
66,356,Nephrology,Dm,30
67,359,Cardiology,Ms,31
68,360,Neurology,Ms,28
69,362,Cardiology,Md,28
70,364,Neurology,Mbbs,23
71,368,Neurology,Mbbs,10
72,372,Pulmonology,Ms,8
73,379,Nephrology,Dm,3
74,381,Pediatrics,Md,1
75,387,General Medicine,Ms,24
76,393,Nephrology,Mbbs,3
77,396,Cardiology,Dm,27
78,397,Icu,Dm,26
79,398,Pulmonology,Ms,33
80,407,General Medicine,Mbbs,31
81,409,Surgery,Ms,26
82,413,Orthopedics,Dm,8
83,422,Pediatrics,Ms,2
84,425,Pediatrics,Mbbs,15
85,428,Cardiology,Dm,19
86,436,Icu,Ms,35
87,449,Pediatrics,Dm,15
88,455,General Medicine,Ms,7
89,468,Icu,Mbbs,23
90,472,Icu,Mbbs,22
91,473,Pulmonology,Dm,12
92,484,Neurology,Mbbs,15
93,486,Pediatrics,Md,31
94,488,Neurology,Dm,34
95,493,Cardiology,Dm,25
96,494,Orthopedics,Mbbs,6
97,497,General Medicine,Mbbs,17
98,498,Nephrology,Dm,7
