manufacturer_id,manufacturer_name,country,reliability_rating,contract_status
1,"Dora, Yogi And Deshpande",Usa,3.8,Active
2,Dhawan-Bhasin,Uk,4.4,Expired
3,"Trivedi, Chaudhry And Parmar",Uk,4.3,Active
4,"Chada, Mall And Parmar",Germany,3.9,Expired
5,Khanna-Chand,Uk,4.5,Expired
6,"Koshy, Dayal And Pillai",India,4.3,Expired
7,Walia Ltd,Usa,4.6,Expired
8,Bera Llc,Usa,3.7,Active
9,Kapadia-Bose,Switzerland,4.5,Active
10,"Mallick, Sami And Handa",Uk,4.8,Active
11,Chokshi Group,India,3.7,Active
12,"Kanda, Srinivasan And Lanka",Usa,4.3,Active
13,"Gade, Iyer And Gaba",Switzerland,3.5,Active
14,Minhas Inc,Germany,3.5,Expired
15,Nadig-Dalal,Uk,3.6,Expired
16,Narayanan And Sons,Switzerland,3.7,Active
17,"Radhakrishnan, Chander And Chacko",India,4.6,Active
18,Dutta-Kalla,Uk,4.7,Expired
19,Batra-Sidhu,Usa,4.0,Expired
20,"Sarkar, Zachariah And Krishnamurthy",Usa,4.5,Active
21,Mann Group,Germany,4.7,Expired
22,Rai-Grewal,Germany,3.7,Active
23,Sabharwal Group,Uk,4.1,Expired
24,Padmanabhan And Sons,Germany,4.8,Active
25,Dhar Ltd,Germany,4.2,Expired
26,"Khosla, Choudhary And Bhatia",Usa,3.9,Expired
27,"Virk, Golla And Bhatti",Usa,3.8,Active
28,"Bhakta, Chand And Agrawal",India,3.6,Expired
29,Banerjee Ltd,Germany,4.1,Active
30,Munshi-Dyal,Germany,4.2,Expired
31,Arora-Ghosh,Germany,4.6,Expired
32,Pall Ltd,India,4.8,Expired
33,Dani Llc,Usa,4.2,Active
34,Vasa-Walia,Germany,4.2,Active
35,"Bains, Shankar And Master",Germany,3.6,Expired
36,Sani-Jayaraman,Germany,4.6,Expired
37,"Chandra, D’Alia And Shah",Switzerland,4.4,Expired
38,"Salvi, Gulati And Thaman",India,4.0,Expired
39,Sheth Inc,India,3.9,Active
40,Singh-Prabhakar,Switzerland,4.7,Active
41,Varty Group,Uk,4.6,Active
42,Khosla-Hans,Switzerland,4.4,Expired
43,Som-Sharma,Switzerland,4.2,Active
44,Wagle-Sridhar,Usa,4.5,Active
45,"Mitra, Barad And Dewan",Uk,3.7,Expired
46,Borde-Rout,Usa,3.8,Active
47,Som-Sule,Germany,3.7,Expired
48,"Gill, Kapadia And Wagle",Uk,3.8,Expired
49,Kothari Plc,Germany,4.2,Expired
50,Dani Group,Germany,4.3,Expired
51,Andra Group,Switzerland,4.4,Expired
52,Kapur Group,Usa,4.4,Expired
53,Rao-Nazareth,Switzerland,3.6,Active
54,"Singhal, Kothari And Amble",Uk,3.8,Expired
55,"Mannan, Devan And Bhardwaj",Usa,3.5,Expired
56,"Parekh, Chaudhari And Nath",Uk,3.8,Active
57,"Chowdhury, Sahni And Vig",Usa,3.7,Active
58,"Prabhakar, Bera And Dora",Usa,4.7,Expired
59,Dutt-Guha,Uk,3.6,Expired
60,Behl Ltd,Germany,4.1,Active
61,Dhar Ltd,Germany,3.6,Expired
62,Contractor Ltd,India,4.2,Expired
63,Chand Ltd,Switzerland,3.9,Expired
64,Dua Inc,Germany,3.7,Expired
65,Prashad-Sur,India,3.9,Expired
66,"Mitra, Trivedi And Dora",Switzerland,3.8,Expired
67,Kade Inc,Usa,4.5,Expired
68,Talwar-Agarwal,India,4.5,Expired
69,Raja-Lall,India,4.6,Expired
70,Warrior Plc,Germany,3.7,Expired
71,"Bandi, Bajwa And Prakash",Uk,3.6,Active
72,Atwal-Ganguly,Switzerland,4.2,Active
73,Ahuja-Rout,Uk,4.5,Expired
74,"Pingle, Sunder And Murty",Uk,4.8,Expired
75,Baria-Raj,Switzerland,4.4,Active
76,"Madan, Kanda And Balasubramanian",Germany,4.0,Expired
77,Sabharwal Ltd,Germany,3.6,Expired
78,Chakraborty-Pathak,Germany,3.7,Active
79,"Sanghvi, Parekh And Gera",Germany,4.9,Expired
80,Thaman And Sons,Uk,3.5,Expired
81,Hayer Llc,Switzerland,3.6,Expired
82,Saraf And Sons,Uk,3.8,Active
83,"Hora, Korpal And Rama",Uk,4.7,Active
84,"Sawhney, Trivedi And Kadakia",Switzerland,4.2,Active
85,"Mallick, Bath And Bala",Uk,4.4,Expired
86,Pai Group,Uk,3.7,Expired
87,"Bera, Mander And Chowdhury",Uk,3.5,Active
88,"Kibe, Tak And Viswanathan",Usa,3.7,Active
89,"Thaman, Lata And Khare",India,4.3,Expired
90,"Gara, Mani And Majumdar",Switzerland,3.7,Expired
91,Kalita Llc,Usa,3.8,Active
92,"Gaba, Lanka And Madan",Switzerland,3.8,Active
93,Seshadri Plc,Usa,3.5,Expired
94,Yogi Llc,Switzerland,4.2,Active
95,"Zachariah, Varughese And Raghavan",India,4.4,Active
96,"Menon, Bhalla And Dhillon",Uk,3.5,Expired
97,Lad Plc,Uk,4.8,Expired
98,"Sehgal, Nagi And Chaudhary",Switzerland,4.8,Expired
99,"Dalal, Sani And Bansal",India,4.8,Expired
100,"Pillai, Dhingra And Andra",Germany,4.7,Expired
101,Issac-Choudhry,Germany,4.7,Active
102,Sandhu And Sons,Switzerland,3.9,Expired
103,"Grover, Chatterjee And Rastogi",Germany,4.3,Active
104,"Lall, Srinivas And Chaudhary",Germany,4.4,Active
105,"Zachariah, Kota And Sachdeva",Usa,4.6,Expired
106,Narain Ltd,Usa,3.7,Active
107,Rout-Nagarajan,India,3.7,Expired
108,"Chacko, Dey And Mani",India,4.1,Expired
109,"Chaudhari, Dugar And Ratti",Germany,4.7,Expired
110,"Tara, Batta And Wagle",Switzerland,4.5,Expired
111,Dhingra And Sons,Switzerland,4.4,Expired
112,Chakraborty-Majumdar,Uk,3.9,Expired
113,"Kalla, Nigam And Memon",Switzerland,4.5,Active
114,"Shah, Basak And Balay",Usa,3.6,Active
115,Chaudhuri-Bhat,Germany,4.8,Active
116,Ganesan-Ratta,Germany,3.8,Expired
117,Chowdhury Ltd,Germany,4.1,Expired
118,Bains-Rai,Germany,4.6,Active
119,Oak-Ratta,Switzerland,3.8,Expired
120,"Krishna, Hari And Banerjee",Uk,3.7,Active
121,"Sur, Hayer And Nayar",Uk,3.7,Active
122,Jayaraman Inc,Uk,3.5,Active
123,"Krishnan, Shukla And Krishnan",Usa,4.3,Active
124,"Sandhu, Sachar And Bora",Usa,3.9,Active
125,Rout Ltd,India,3.6,Active
126,Dugal-Rajan,Germany,4.4,Expired
127,"Dubey, Tara And Chhabra",Uk,4.6,Expired
128,Din Plc,Switzerland,4.4,Active
129,Srivastava Group,India,4.9,Active
130,Sahni Inc,Usa,4.5,Active
131,"Mishra, Nair And Atwal",Uk,3.8,Expired
132,"Char, Shenoy And Arora",India,4.6,Active
133,Misra And Sons,Uk,3.7,Expired
134,"Golla, Walia And Saran",India,3.5,Expired
135,"Dugal, Tak And Dugar",India,3.6,Expired
136,"Chaudry, Krishnan And Sankaran",India,3.6,Expired
137,Ganguly And Sons,Usa,3.7,Active
138,Gokhale Group,Switzerland,4.6,Active
139,Deo Ltd,Switzerland,3.6,Active
140,Sood Inc,Germany,3.8,Active
141,Narula-Chander,India,3.7,Expired
142,Sahni-Kata,Usa,4.0,Expired
143,"Varty, Boase And Kunda",Germany,4.2,Active
144,Saran Inc,Uk,4.4,Expired
145,"Banerjee, Grover And Devi",Switzerland,3.7,Active
146,Sethi-Balay,Switzerland,4.5,Expired
147,Pall-Naidu,Switzerland,3.6,Expired
148,"Ravel, Raval And Morar",Switzerland,4.2,Expired
149,"Date, Dhaliwal And Choudhry",Germany,4.5,Expired
150,Mani-Narang,India,4.0,Expired
151,Mani Plc,Germany,4.6,Expired
152,Gokhale-Dey,Switzerland,3.7,Expired
153,Zachariah Llc,Usa,4.3,Active
154,Prabhakar Ltd,India,4.5,Active
155,"Badami, Rout And Dutta",Switzerland,4.0,Expired
156,Sharaf-Raval,Germany,4.4,Expired
157,"Narain, Swamy And Pathak",Usa,3.7,Expired
158,Agarwal-Thaman,Usa,4.7,Expired
159,Ahuja-Baria,Uk,4.5,Expired
160,"Sarna, Vasa And Dutta",Switzerland,4.3,Expired
161,"De, Subramaniam And Seth",Usa,4.0,Expired
162,"Kurian, Kar And Nayar",India,4.1,Active
163,"Mammen, Nanda And Prabhu",India,4.1,Active
164,Solanki-Behl,India,4.8,Active
165,Shenoy Llc,Usa,4.6,Expired
166,Bail Inc,Usa,4.4,Active
167,Garde-Lata,Germany,4.8,Expired
168,Menon-Bhattacharyya,Usa,4.7,Active
169,"Anand, Buch And Arya",Germany,4.4,Active
170,"Keer, Shankar And Sharma",Uk,3.7,Expired
171,"Deo, Sibal And Barman",India,4.4,Active
172,Wable Ltd,Usa,4.3,Active
173,Khosla Ltd,India,4.6,Expired
174,Pingle Ltd,Switzerland,4.2,Expired
175,Sehgal Group,Switzerland,4.3,Active
176,Gala Inc,Switzerland,4.7,Expired
177,"Kannan, Varma And Tailor",India,3.6,Active
178,"Bala, Kalita And Sinha",Usa,4.7,Expired
179,Batra-Kaur,Uk,4.5,Active
180,Bhatia Llc,India,3.7,Active
181,Gola-Krishnamurthy,Uk,4.9,Expired
182,"Saxena, Kade And Bhargava",Switzerland,3.6,Active
183,Sood-Lata,India,4.2,Expired
184,Chaudhuri-Patla,Usa,3.8,Active
185,Ganesh Plc,Uk,4.5,Active
186,Badal And Sons,Uk,4.8,Expired
187,"Chauhan, Ramanathan And Dhar",Germany,4.1,Expired
188,"Pillai, Nair And Bhardwaj",Switzerland,4.9,Expired
189,Bhat-Kothari,Uk,3.6,Active
190,Swaminathan Llc,Uk,4.8,Expired
191,Chada-Bir,Uk,4.6,Expired
192,"Rout, Bala And Prakash",India,4.1,Active
193,Tank-Kamdar,India,4.4,Active
194,"Aurora, Ramanathan And Khalsa",India,4.7,Active
195,Sandal-Kala,Germany,3.8,Active
196,Tandon-Kanda,Switzerland,4.7,Expired
197,Handa Inc,Switzerland,4.4,Active
198,Behl Ltd,Usa,4.0,Expired
199,Reddy Llc,Uk,4.3,Active
200,Hayre Ltd,Uk,4.8,Active
201,Bansal Llc,Uk,4.4,Active
202,"Chokshi, Sarraf And Minhas",Usa,4.1,Expired
203,Dash-Jhaveri,Germany,4.0,Active
204,"Goel, Dasgupta And Sha",India,4.6,Active
205,Kala-Choudhary,Germany,4.9,Expired
206,"Narang, Baria And Sant",India,3.9,Expired
207,Rau-Narayanan,Switzerland,4.4,Active
208,"Chand, Narang And Chadha",Usa,4.5,Active
209,Sane Llc,Switzerland,4.9,Active
210,Shukla Ltd,Uk,3.8,Active
211,"Kanda, Ravi And Vasa",Germany,4.0,Expired
212,Goswami Group,Germany,4.2,Expired
213,Mander Group,Switzerland,4.6,Active
214,Bajaj-Virk,India,4.1,Active
215,Char-Rege,Switzerland,4.3,Expired
216,Sha-Sawhney,Switzerland,4.8,Active
217,Bora Ltd,Uk,4.3,Expired
218,Kaul Llc,Uk,4.4,Active
219,"Dalal, Suri And Trivedi",Germany,4.6,Expired
220,Chandran Group,India,4.7,Active
221,Munshi Inc,Switzerland,3.6,Expired
222,Samra-Kara,Usa,4.3,Active
223,"Chaudry, Dey And Raman",India,4.7,Active
224,Yadav-Madan,Germany,4.1,Active
225,Shetty-Panchal,Uk,4.6,Expired
226,"Prashad, Ramanathan And Naidu",Usa,4.7,Active
227,"Palla, Jaggi And Keer",Uk,3.5,Expired
228,Bhargava Group,Uk,4.4,Active
229,Bal-Gokhale,Germany,3.8,Active
230,Gola Plc,Switzerland,3.9,Expired
231,"Raval, Apte And Karnik",Switzerland,4.6,Expired
232,Hari-Rattan,Switzerland,3.9,Active
233,Bala Inc,India,4.7,Expired
234,Mallick-Pall,Uk,4.9,Expired
235,Ramachandran-Boase,Usa,4.5,Expired
236,Mutti Plc,Usa,4.5,Active
237,Raja Inc,Usa,4.3,Active
238,Nagy And Sons,Switzerland,4.2,Expired
239,"Butala, Gara And Gopal",Switzerland,4.1,Active
240,Johal Plc,Switzerland,3.5,Active
241,Sarma Group,Switzerland,4.5,Active
242,Oza-Ghose,Usa,4.2,Active
243,Din Plc,Switzerland,4.2,Expired
244,Mohanty-Ray,Uk,4.8,Expired
245,Mishra-Khalsa,Germany,4.2,Expired
246,Vora Inc,India,4.3,Active
247,"Pall, Kota And Samra",Usa,4.8,Expired
248,Amble-Bail,Switzerland,3.7,Active
249,Sarin And Sons,Switzerland,4.9,Expired
250,Atwal-Tiwari,Switzerland,3.6,Expired
251,Borde-Lad,Uk,4.7,Active
252,"Pillay, Dalal And Gill",Germany,4.0,Expired
253,Mittal Group,India,3.5,Active
254,Buch Ltd,Uk,4.6,Expired
255,Mangal Group,Switzerland,4.9,Active
256,Bahl-Reddy,Uk,4.7,Active
257,Keer Ltd,Usa,4.8,Active
258,"Kapoor, Sagar And Gokhale",Switzerland,4.3,Expired
259,"Borde, Barman And Vora",India,3.5,Expired
260,Johal Plc,India,4.1,Active
261,"Sama, Narula And Rout",Germany,3.9,Expired
262,Peri-Nayak,Switzerland,4.7,Active
263,"Kalla, Bajwa And Devan",Germany,4.3,Expired
264,Singhal-Dugar,Uk,4.9,Active
265,"Sathe, Suresh And Kata",Germany,4.2,Expired
266,Kumer-Ramanathan,Uk,3.7,Active
