resource_utilization_id,week,department_name,resource_type,resource_category,total_units_available,units_in_use,utilization_rate_pct
RES-00001,1,emergency,doctor,staff,8,8,100.0
RES-00002,1,emergency,nurse,staff,22,18,81.8
RES-00003,1,emergency,nursing_assistant,staff,9,9,100.0
RES-00004,1,general_medicine,doctor,staff,5,5,100.0
RES-00005,1,general_medicine,nurse,staff,16,15,93.8
RES-00006,1,general_medicine,nursing_assistant,staff,7,7,100.0
RES-00007,1,icu,doctor,staff,6,6,100.0
RES-00008,1,icu,nurse,staff,19,17,89.5
RES-00009,1,icu,nursing_assistant,staff,9,8,88.9
RES-00010,1,surgery,doctor,staff,3,3,100.0
RES-00011,1,surgery,nurse,staff,16,15,93.8
RES-00012,1,surgery,nursing_assistant,staff,6,5,83.3
RES-00013,2,emergency,doctor,staff,8,8,100.0
RES-00014,2,emergency,nurse,staff,22,21,95.5
RES-00015,2,emergency,nursing_assistant,staff,9,8,88.9
RES-00016,2,general_medicine,doctor,staff,5,5,100.0
RES-00017,2,general_medicine,nurse,staff,16,14,87.5
RES-00018,2,general_medicine,nursing_assistant,staff,7,6,85.7
RES-00019,2,icu,doctor,staff,6,6,100.0
RES-00020,2,icu,nurse,staff,19,17,89.5
RES-00021,2,icu,nursing_assistant,staff,9,7,77.8
RES-00022,2,surgery,doctor,staff,3,3,100.0
RES-00023,2,surgery,nurse,staff,16,15,93.8
RES-00024,2,surgery,nursing_assistant,staff,6,5,83.3
RES-00025,4,emergency,doctor,staff,8,7,87.5
RES-00026,4,emergency,nurse,staff,22,21,95.5
RES-00027,4,emergency,nursing_assistant,staff,9,8,88.9
RES-00028,4,general_medicine,doctor,staff,5,4,80.0
RES-00029,4,general_medicine,nurse,staff,16,13,81.2
RES-00030,4,general_medicine,nursing_assistant,staff,7,5,71.4
RES-00031,4,icu,doctor,staff,6,5,83.3
RES-00032,4,icu,nurse,staff,19,16,84.2
RES-00033,4,icu,nursing_assistant,staff,9,8,88.9
RES-00034,4,surgery,doctor,staff,3,3,100.0
RES-00035,4,surgery,nurse,staff,16,13,81.2
RES-00036,4,surgery,nursing_assistant,staff,6,4,66.7
RES-00037,5,emergency,doctor,staff,8,7,87.5
RES-00038,5,emergency,nurse,staff,22,20,90.9
RES-00039,5,emergency,nursing_assistant,staff,9,8,88.9
RES-00040,5,general_medicine,doctor,staff,5,5,100.0
RES-00041,5,general_medicine,nurse,staff,16,11,68.8
RES-00042,5,general_medicine,nursing_assistant,staff,7,7,100.0
RES-00043,5,icu,doctor,staff,6,5,83.3
RES-00044,5,icu,nurse,staff,19,15,78.9
RES-00045,5,icu,nursing_assistant,staff,9,8,88.9
RES-00046,5,surgery,doctor,staff,3,3,100.0
RES-00047,5,surgery,nurse,staff,16,14,87.5
RES-00048,5,surgery,nursing_assistant,staff,6,5,83.3
RES-00049,7,emergency,doctor,staff,8,7,87.5
RES-00050,7,emergency,nurse,staff,22,21,95.5
RES-00051,7,emergency,nursing_assistant,staff,9,7,77.8
RES-00052,7,general_medicine,doctor,staff,5,4,80.0
RES-00053,7,general_medicine,nurse,staff,16,16,100.0
RES-00054,7,general_medicine,nursing_assistant,staff,7,6,85.7
RES-00055,7,icu,doctor,staff,6,5,83.3
RES-00056,7,icu,nurse,staff,19,17,89.5
RES-00057,7,icu,nursing_assistant,staff,9,8,88.9
RES-00058,7,surgery,doctor,staff,3,3,100.0
RES-00059,7,surgery,nurse,staff,16,15,93.8
RES-00060,7,surgery,nursing_assistant,staff,6,6,100.0
RES-00061,8,emergency,doctor,staff,8,8,100.0
RES-00062,8,emergency,nurse,staff,22,19,86.4
RES-00063,8,emergency,nursing_assistant,staff,9,9,100.0
RES-00064,8,general_medicine,doctor,staff,5,4,80.0
RES-00065,8,general_medicine,nurse,staff,16,15,93.8
RES-00066,8,general_medicine,nursing_assistant,staff,7,6,85.7
RES-00067,8,icu,doctor,staff,6,5,83.3
RES-00068,8,icu,nurse,staff,19,15,78.9
RES-00069,8,icu,nursing_assistant,staff,9,8,88.9
RES-00070,8,surgery,doctor,staff,3,2,66.7
RES-00071,8,surgery,nurse,staff,16,13,81.2
RES-00072,8,surgery,nursing_assistant,staff,6,5,83.3
RES-00073,10,emergency,doctor,staff,8,6,75.0
RES-00074,10,emergency,nurse,staff,22,21,95.5
RES-00075,10,emergency,nursing_assistant,staff,9,8,88.9
RES-00076,10,general_medicine,doctor,staff,5,5,100.0
RES-00077,10,general_medicine,nurse,staff,16,13,81.2
RES-00078,10,general_medicine,nursing_assistant,staff,7,7,100.0
RES-00079,10,icu,doctor,staff,6,5,83.3
RES-00080,10,icu,nurse,staff,19,18,94.7
RES-00081,10,icu,nursing_assistant,staff,9,8,88.9
RES-00082,10,surgery,doctor,staff,3,3,100.0
RES-00083,10,surgery,nurse,staff,16,12,75.0
RES-00084,10,surgery,nursing_assistant,staff,6,6,100.0
RES-00085,11,emergency,doctor,staff,8,8,100.0
RES-00086,11,emergency,nurse,staff,22,19,86.4
RES-00087,11,emergency,nursing_assistant,staff,9,7,77.8
RES-00088,11,general_medicine,doctor,staff,5,5,100.0
RES-00089,11,general_medicine,nurse,staff,16,12,75.0
RES-00090,11,general_medicine,nursing_assistant,staff,7,5,71.4
RES-00091,11,icu,doctor,staff,6,4,66.7
RES-00092,11,icu,nurse,staff,19,18,94.7
RES-00093,11,icu,nursing_assistant,staff,9,9,100.0
RES-00094,11,surgery,doctor,staff,3,3,100.0
RES-00095,11,surgery,nurse,staff,16,14,87.5
RES-00096,11,surgery,nursing_assistant,staff,6,6,100.0
RES-00097,13,emergency,doctor,staff,8,4,50.0
RES-00098,13,emergency,nurse,staff,22,21,95.5
RES-00099,13,emergency,nursing_assistant,staff,9,9,100.0
RES-00100,13,general_medicine,doctor,staff,5,5,100.0
RES-00101,13,general_medicine,nurse,staff,16,14,87.5
RES-00102,13,general_medicine,nursing_assistant,staff,7,7,100.0
RES-00103,13,icu,doctor,staff,6,6,100.0
RES-00104,13,icu,nurse,staff,19,16,84.2
RES-00105,13,icu,nursing_assistant,staff,9,5,55.6
RES-00106,13,surgery,doctor,staff,3,2,66.7
RES-00107,13,surgery,nurse,staff,16,14,87.5
RES-00108,13,surgery,nursing_assistant,staff,6,4,66.7
RES-00109,14,emergency,doctor,staff,8,6,75.0
RES-00110,14,emergency,nurse,staff,22,15,68.2
RES-00111,14,emergency,nursing_assistant,staff,9,8,88.9
RES-00112,14,general_medicine,doctor,staff,5,3,60.0
RES-00113,14,general_medicine,nurse,staff,16,12,75.0
RES-00114,14,general_medicine,nursing_assistant,staff,7,7,100.0
RES-00115,14,icu,doctor,staff,6,3,50.0
RES-00116,14,icu,nurse,staff,19,19,100.0
RES-00117,14,icu,nursing_assistant,staff,9,9,100.0
RES-00118,14,surgery,doctor,staff,3,3,100.0
RES-00119,14,surgery,nurse,staff,16,14,87.5
RES-00120,14,surgery,nursing_assistant,staff,6,5,83.3
RES-00121,16,emergency,doctor,staff,8,7,87.5
RES-00122,16,emergency,nurse,staff,22,21,95.5
RES-00123,16,emergency,nursing_assistant,staff,9,8,88.9
RES-00124,16,general_medicine,doctor,staff,5,5,100.0
RES-00125,16,general_medicine,nurse,staff,16,14,87.5
RES-00126,16,general_medicine,nursing_assistant,staff,7,7,100.0
RES-00127,16,icu,doctor,staff,6,5,83.3
RES-00128,16,icu,nurse,staff,19,14,73.7
RES-00129,16,icu,nursing_assistant,staff,9,9,100.0
RES-00130,16,surgery,doctor,staff,3,3,100.0
RES-00131,16,surgery,nurse,staff,16,14,87.5
RES-00132,16,surgery,nursing_assistant,staff,6,6,100.0
RES-00133,17,emergency,doctor,staff,8,8,100.0
RES-00134,17,emergency,nurse,staff,22,21,95.5
RES-00135,17,emergency,nursing_assistant,staff,9,8,88.9
RES-00136,17,general_medicine,doctor,staff,5,5,100.0
RES-00137,17,general_medicine,nurse,staff,16,14,87.5
RES-00138,17,general_medicine,nursing_assistant,staff,7,6,85.7
RES-00139,17,icu,doctor,staff,6,4,66.7
RES-00140,17,icu,nurse,staff,19,16,84.2
RES-00141,17,icu,nursing_assistant,staff,9,7,77.8
RES-00142,17,surgery,doctor,staff,3,2,66.7
RES-00143,17,surgery,nurse,staff,16,13,81.2
RES-00144,17,surgery,nursing_assistant,staff,6,6,100.0
RES-00145,19,emergency,doctor,staff,8,7,87.5
RES-00146,19,emergency,nurse,staff,22,20,90.9
RES-00147,19,emergency,nursing_assistant,staff,9,8,88.9
RES-00148,19,general_medicine,doctor,staff,5,5,100.0
RES-00149,19,general_medicine,nurse,staff,16,14,87.5
RES-00150,19,general_medicine,nursing_assistant,staff,7,7,100.0
RES-00151,19,icu,doctor,staff,6,6,100.0
RES-00152,19,icu,nurse,staff,19,19,100.0
RES-00153,19,icu,nursing_assistant,staff,9,9,100.0
RES-00154,19,surgery,doctor,staff,3,3,100.0
RES-00155,19,surgery,nurse,staff,16,15,93.8
RES-00156,19,surgery,nursing_assistant,staff,6,5,83.3
RES-00157,20,emergency,doctor,staff,8,7,87.5
RES-00158,20,emergency,nurse,staff,22,21,95.5
RES-00159,20,emergency,nursing_assistant,staff,9,9,100.0
RES-00160,20,general_medicine,doctor,staff,5,5,100.0
RES-00161,20,general_medicine,nurse,staff,16,15,93.8
RES-00162,20,general_medicine,nursing_assistant,staff,7,4,57.1
RES-00163,20,icu,doctor,staff,6,5,83.3
RES-00164,20,icu,nurse,staff,19,17,89.5
RES-00165,20,icu,nursing_assistant,staff,9,9,100.0
RES-00166,20,surgery,doctor,staff,3,3,100.0
RES-00167,20,surgery,nurse,staff,16,15,93.8
RES-00168,20,surgery,nursing_assistant,staff,6,5,83.3
RES-00169,22,emergency,doctor,staff,8,7,87.5
RES-00170,22,emergency,nurse,staff,22,20,90.9
RES-00171,22,emergency,nursing_assistant,staff,9,9,100.0
RES-00172,22,general_medicine,doctor,staff,5,5,100.0
RES-00173,22,general_medicine,nurse,staff,16,12,75.0
RES-00174,22,general_medicine,nursing_assistant,staff,7,7,100.0
RES-00175,22,icu,doctor,staff,6,6,100.0
RES-00176,22,icu,nurse,staff,19,18,94.7
RES-00177,22,icu,nursing_assistant,staff,9,9,100.0
RES-00178,22,surgery,doctor,staff,3,3,100.0
RES-00179,22,surgery,nurse,staff,16,14,87.5
RES-00180,22,surgery,nursing_assistant,staff,6,5,83.3
RES-00181,23,emergency,doctor,staff,8,7,87.5
RES-00182,23,emergency,nurse,staff,22,20,90.9
RES-00183,23,emergency,nursing_assistant,staff,9,8,88.9
RES-00184,23,general_medicine,doctor,staff,5,4,80.0
RES-00185,23,general_medicine,nurse,staff,16,15,93.8
RES-00186,23,general_medicine,nursing_assistant,staff,7,7,100.0
RES-00187,23,icu,doctor,staff,6,6,100.0
RES-00188,23,icu,nurse,staff,19,19,100.0
RES-00189,23,icu,nursing_assistant,staff,9,8,88.9
RES-00190,23,surgery,doctor,staff,3,2,66.7
RES-00191,23,surgery,nurse,staff,16,16,100.0
RES-00192,23,surgery,nursing_assistant,staff,6,5,83.3
RES-00193,25,emergency,doctor,staff,8,6,75.0
RES-00194,25,emergency,nurse,staff,22,21,95.5
RES-00195,25,emergency,nursing_assistant,staff,9,9,100.0
RES-00196,25,general_medicine,doctor,staff,5,4,80.0
RES-00197,25,general_medicine,nurse,staff,16,15,93.8
RES-00198,25,general_medicine,nursing_assistant,staff,7,5,71.4
RES-00199,25,icu,doctor,staff,6,6,100.0
RES-00200,25,icu,nurse,staff,19,14,73.7
RES-00201,25,icu,nursing_assistant,staff,9,8,88.9
RES-00202,25,surgery,doctor,staff,3,3,100.0
RES-00203,25,surgery,nurse,staff,16,16,100.0
RES-00204,25,surgery,nursing_assistant,staff,6,4,66.7
RES-00205,26,emergency,doctor,staff,8,8,100.0
