resource_utilization_id,date,hospital_id,hospital_name,department_id,department_name,resource_type,resource_category,total_units_available,units_in_use,units_under_maintenance,utilization_rate_pct,shortage_flag,capacity_hours,utilized_hours,idle_hours,downtime_hours,nurses_on_duty_snapshot,doctors_on_duty_snapshot,overtime_hours,avg_response_time_minutes,resource_condition,maintenance_due_flag,last_maintenance_date
R0001,2026-01-01,H001,CityCare General Hospital,D01,emergency department,Bed,General Bed,28,21,2,75.0,0,24,18.0,6.0,0.77,11,2,2.39,22.77,Good,0,2025-10-01
R0002,2026-01-06,H002,Green Valley Medical Center,D06,pediatrics,Equipment,Patient Monitor,5,2,1,40.0,0,24,9.6,14.4,4.86,10,2,0.84,21.07,Good,0,2025-09-14
R0003,2026-01-11,H003,Sunrise Multi-Specialty Hospital,D04,orthopedics,Clinical Staff,Nursing Staff,7,3,2,42.86,0,12,5.14,6.86,0.1,8,5,0.93,21.49,Fair,0,2025-10-04
R0004,2026-01-16,H001,CityCare General Hospital,D02,general medicine,Bed,ICU Bed,14,10,1,71.43,0,24,17.14,6.86,4.98,13,2,2.09,10.19,Good,0,2025-11-12
R0005,2026-01-21,H002,Green Valley Medical Center,D07,general surgery,Equipment,Ventilator,18,10,2,55.56,0,24,13.33,10.67,3.87,3,3,4.28,15.7,Good,0,2025-10-24
R0006,2026-01-26,H003,Sunrise Multi-Specialty Hospital,D05,icu,Clinical Staff,Doctors,28,17,1,60.71,0,12,7.29,4.71,0.01,14,2,3.64,10.23,Good,0,2025-12-08
R0007,2026-01-31,H001,CityCare General Hospital,D03,cardiology,Bed,Private Bed,14,12,1,85.71,0,24,20.57,3.43,0.21,11,5,0.33,18.97,Good,0,2026-01-14
R0008,2026-02-05,H002,Green Valley Medical Center,D01,emergency department,Equipment,X-Ray Unit,18,11,1,61.11,0,24,14.67,9.33,2.62,3,5,4.34,9.83,Good,0,2026-01-05
R0009,2026-02-10,H003,Sunrise Multi-Specialty Hospital,D06,pediatrics,Clinical Staff,Nursing Staff,27,18,1,66.67,0,12,8.0,4.0,1.68,9,4,3.54,22.89,Good,0,2025-12-17
R0010,2026-02-15,H001,CityCare General Hospital,D04,orthopedics,Bed,Semi-Private Bed,38,31,4,81.58,0,24,19.58,4.42,4.92,6,2,4.99,9.6,Fair,1,2025-11-19
R0011,2026-02-20,H002,Green Valley Medical Center,D02,general medicine,Equipment,Infusion Pump,27,17,2,62.96,0,24,15.11,8.89,3.81,8,2,3.47,15.35,Good,1,2025-11-14
R0012,2026-02-25,H003,Sunrise Multi-Specialty Hospital,D07,general surgery,Clinical Staff,Doctors,29,17,2,58.62,0,12,7.03,4.97,1.02,10,2,3.56,11.33,Good,0,2025-11-13
R0013,2026-03-02,H001,CityCare General Hospital,D05,icu,Bed,General Bed,18,11,1,61.11,0,24,14.67,9.33,4.54,8,2,3.2,3.05,Needs Maintenance,1,2025-11-08
R0014,2026-03-07,H002,Green Valley Medical Center,D03,cardiology,Equipment,Patient Monitor,10,5,2,50.0,0,24,12.0,12.0,1.17,9,1,3.97,7.28,Needs Maintenance,1,2026-01-03
R0015,2026-03-12,H003,Sunrise Multi-Specialty Hospital,D01,emergency department,Clinical Staff,Nursing Staff,13,7,2,53.85,0,12,6.46,5.54,0.9,14,2,0.92,11.81,Good,0,2025-12-03
R0016,2026-03-17,H001,CityCare General Hospital,D06,pediatrics,Bed,ICU Bed,21,11,0,52.38,0,24,12.57,11.43,2.55,3,2,2.01,11.21,Needs Maintenance,1,2025-12-03
R0017,2026-03-22,H002,Green Valley Medical Center,D04,orthopedics,Equipment,Ventilator,15,10,2,66.67,0,24,16.0,8.0,2.84,7,3,1.59,15.8,Needs Maintenance,1,2025-11-26
R0018,2026-03-27,H003,Sunrise Multi-Specialty Hospital,D02,general medicine,Clinical Staff,Doctors,25,16,1,64.0,0,12,7.68,4.32,0.51,10,1,3.22,14.4,Good,0,2025-12-19
R0019,2026-04-01,H001,CityCare General Hospital,D07,general surgery,Bed,Private Bed,17,14,1,82.35,0,24,19.76,4.24,2.48,3,1,2.56,15.13,Good,0,2026-03-20
R0020,2026-04-06,H002,Green Valley Medical Center,D05,icu,Equipment,X-Ray Unit,26,21,1,80.77,0,24,19.38,4.62,1.48,10,2,1.74,14.9,Good,0,2026-02-04
R0021,2026-04-11,H003,Sunrise Multi-Specialty Hospital,D03,cardiology,Clinical Staff,Nursing Staff,5,2,0,40.0,0,12,4.8,7.2,1.25,11,3,0.17,10.07,Good,0,2025-12-22
R0022,2026-04-16,H001,CityCare General Hospital,D01,emergency department,Bed,Semi-Private Bed,10,4,0,40.0,0,24,9.6,14.4,1.02,12,5,2.24,23.56,Good,0,2026-03-03
R0023,2026-04-21,H002,Green Valley Medical Center,D06,pediatrics,Equipment,Infusion Pump,16,12,1,75.0,0,24,18.0,6.0,0.24,7,1,4.79,16.13,Good,1,2026-03-07
R0024,2026-04-26,H003,Sunrise Multi-Specialty Hospital,D04,orthopedics,Clinical Staff,Doctors,26,20,3,76.92,0,12,9.23,2.77,1.73,7,3,2.95,20.24,Good,0,2026-02-19
R0025,2026-05-01,H001,CityCare General Hospital,D02,general medicine,Bed,General Bed,27,13,2,48.15,0,24,11.56,12.44,3.49,5,3,2.57,21.27,Good,0,2026-01-31
R0026,2026-05-06,H002,Green Valley Medical Center,D07,general surgery,Equipment,Patient Monitor,29,22,2,75.86,0,24,18.21,5.79,3.77,3,4,3.1,21.84,Good,0,2026-01-26
R0027,2026-05-11,H003,Sunrise Multi-Specialty Hospital,D05,icu,Clinical Staff,Nursing Staff,30,17,2,56.67,0,12,6.8,5.2,1.39,4,4,2.55,12.4,Good,0,2026-02-19
R0028,2026-05-16,H001,CityCare General Hospital,D03,cardiology,Bed,ICU Bed,29,24,2,82.76,0,24,19.86,4.14,3.76,5,5,3.61,14.13,Good,0,2026-02-03
R0029,2026-05-21,H002,Green Valley Medical Center,D01,emergency department,Equipment,Ventilator,19,10,1,52.63,0,24,12.63,11.37,4.19,5,3,3.88,19.22,Fair,0,2026-04-22
R0030,2026-05-26,H003,Sunrise Multi-Specialty Hospital,D06,pediatrics,Clinical Staff,Doctors,30,27,1,90.0,1,12,10.8,1.2,1.85,3,5,0.73,24.44,Good,0,2026-05-02
R0031,2026-05-31,H001,CityCare General Hospital,D04,orthopedics,Bed,Private Bed,26,14,5,53.85,0,24,12.92,11.08,3.47,9,3,3.92,7.93,Good,1,2026-04-30
R0032,2026-06-05,H002,Green Valley Medical Center,D02,general medicine,Equipment,X-Ray Unit,17,7,0,41.18,0,24,9.88,14.12,1.63,6,5,1.99,4.63,Good,0,2026-03-01
R0033,2026-06-10,H003,Sunrise Multi-Specialty Hospital,D07,general surgery,Clinical Staff,Nursing Staff,11,6,0,54.55,0,12,6.55,5.45,1.52,5,5,3.83,23.41,Needs Maintenance,1,2026-03-23
R0034,2026-06-15,H001,CityCare General Hospital,D05,icu,Bed,Semi-Private Bed,27,18,1,66.67,0,24,16.0,8.0,1.87,14,4,4.44,23.48,Good,0,2026-05-10
R0035,2026-06-20,H002,Green Valley Medical Center,D03,cardiology,Equipment,Infusion Pump,11,6,0,54.55,0,24,13.09,10.91,2.52,8,4,2.36,13.62,Good,0,2026-04-17
R0036,2026-06-25,H003,Sunrise Multi-Specialty Hospital,D01,emergency department,Clinical Staff,Doctors,30,15,3,50.0,0,12,6.0,6.0,1.9,4,1,1.16,7.89,Fair,1,2026-05-07
R0037,2026-01-01,H001,CityCare General Hospital,D06,pediatrics,Bed,General Bed,40,27,3,67.5,0,24,16.2,7.8,2.88,13,5,0.52,15.17,Fair,0,2025-12-13
R0038,2026-01-06,H002,Green Valley Medical Center,D04,orthopedics,Equipment,Patient Monitor,19,14,2,73.68,0,24,17.68,6.32,3.59,8,5,0.82,12.45,Good,0,2025-11-08
R0039,2026-01-11,H003,Sunrise Multi-Specialty Hospital,D02,general medicine,Clinical Staff,Nursing Staff,25,14,3,56.0,0,12,6.72,5.28,1.54,13,1,4.43,4.75,Good,0,2025-10-14
R0040,2026-01-16,H001,CityCare General Hospital,D07,general surgery,Bed,ICU Bed,50,25,4,50.0,0,24,12.0,12.0,0.34,8,4,3.68,10.47,Good,0,2025-10-23
R0041,2026-01-21,H002,Green Valley Medical Center,D05,icu,Equipment,Ventilator,17,5,0,29.41,0,24,7.06,16.94,3.84,7,5,3.83,16.18,Good,0,2025-12-08
R0042,2026-01-26,H003,Sunrise Multi-Specialty Hospital,D03,cardiology,Clinical Staff,Doctors,8,6,0,75.0,0,12,9.0,3.0,1.73,13,3,3.65,8.21,Good,0,2025-12-13
R0043,2026-01-31,H001,CityCare General Hospital,D01,emergency department,Bed,Private Bed,50,32,2,64.0,0,24,15.36,8.64,0.81,10,4,0.97,19.17,Good,0,2026-01-16
R0044,2026-02-05,H002,Green Valley Medical Center,D06,pediatrics,Equipment,X-Ray Unit,11,5,0,45.45,0,24,10.91,13.09,0.93,3,2,2.61,17.81,Good,0,2025-12-17
R0045,2026-02-10,H003,Sunrise Multi-Specialty Hospital,D04,orthopedics,Clinical Staff,Nursing Staff,15,10,1,66.67,0,12,8.0,4.0,0.74,4,3,1.5,5.97,Good,1,2025-12-20
R0046,2026-02-15,H001,CityCare General Hospital,D02,general medicine,Bed,Semi-Private Bed,39,30,2,76.92,0,24,18.46,5.54,2.21,13,4,2.84,10.5,Fair,0,2025-12-13
R0047,2026-02-20,H002,Green Valley Medical Center,D07,general surgery,Equipment,Infusion Pump,5,4,0,80.0,0,24,19.2,4.8,4.35,14,5,4.42,10.53,Good,0,2026-02-08
R0048,2026-02-25,H003,Sunrise Multi-Specialty Hospital,D05,icu,Clinical Staff,Doctors,20,11,2,55.0,0,12,6.6,5.4,0.62,11,3,1.43,22.64,Fair,0,2025-12-01
R0049,2026-03-02,H001,CityCare General Hospital,D03,cardiology,Bed,General Bed,32,13,2,40.62,0,24,9.75,14.25,1.0,14,3,0.43,18.89,Good,1,2025-11-02
R0050,2026-03-07,H002,Green Valley Medical Center,D01,emergency department,Equipment,Patient Monitor,15,15,0,100.0,1,24,24.0,0.0,0.96,8,1,2.77,8.0,Fair,0,2026-01-12
R0051,2026-03-12,H003,Sunrise Multi-Specialty Hospital,D06,pediatrics,Clinical Staff,Nursing Staff,13,8,2,61.54,0,12,7.38,4.62,1.4,4,3,3.81,21.27,Good,1,2026-02-10
R0052,2026-03-17,H001,CityCare General Hospital,D04,orthopedics,Bed,ICU Bed,25,10,2,40.0,0,24,9.6,14.4,2.87,14,5,1.38,20.55,Needs Maintenance,1,2026-02-01
R0053,2026-03-22,H002,Green Valley Medical Center,D02,general medicine,Equipment,Ventilator,10,6,0,60.0,0,24,14.4,9.6,2.76,9,1,0.04,10.57,Fair,0,2025-11-29
R0054,2026-03-27,H003,Sunrise Multi-Specialty Hospital,D07,general surgery,Clinical Staff,Doctors,22,14,1,63.64,0,12,7.64,4.36,1.25,8,1,2.28,16.64,Good,0,2026-01-14
R0055,2026-04-01,H001,CityCare General Hospital,D05,icu,Bed,Private Bed,31,21,3,67.74,0,24,16.26,7.74,0.21,14,5,4.95,14.74,Good,0,2026-03-08
R0056,2026-04-06,H002,Green Valley Medical Center,D03,cardiology,Equipment,X-Ray Unit,13,3,2,23.08,0,24,5.54,18.46,3.03,6,5,0.36,10.66,Fair,0,2026-01-09
R0057,2026-04-11,H003,Sunrise Multi-Specialty Hospital,D01,emergency department,Clinical Staff,Nursing Staff,5,3,0,60.0,0,12,7.2,4.8,0.69,14,5,2.05,7.3,Needs Maintenance,1,2026-01-09
R0058,2026-04-16,H001,CityCare General Hospital,D06,pediatrics,Bed,Semi-Private Bed,14,8,2,57.14,0,24,13.71,10.29,1.16,4,2,3.28,8.11,Needs Maintenance,1,2026-03-30
R0059,2026-04-21,H002,Green Valley Medical Center,D04,orthopedics,Equipment,Infusion Pump,30,22,1,73.33,0,24,17.6,6.4,1.61,3,4,2.28,21.0,Good,0,2026-04-09
R0060,2026-04-26,H003,Sunrise Multi-Specialty Hospital,D02,general medicine,Clinical Staff,Doctors,8,7,0,87.5,0,12,10.5,1.5,0.38,8,1,1.96,22.23,Good,0,2026-01-15
R0061,2026-05-01,H001,CityCare General Hospital,D07,general surgery,Bed,General Bed,41,21,5,51.22,0,24,12.29,11.71,4.81,7,3,0.89,6.19,Good,1,2026-04-19
R0062,2026-05-06,H002,Green Valley Medical Center,D05,icu,Equipment,Patient Monitor,16,8,0,50.0,0,24,12.0,12.0,4.79,4,2,1.78,24.96,Good,0,2026-03-25
R0063,2026-05-11,H003,Sunrise Multi-Specialty Hospital,D03,cardiology,Clinical Staff,Nursing Staff,29,20,1,68.97,0,12,8.28,3.72,0.54,14,5,4.09,14.3,Good,0,2026-03-20
