date,hospital_id,hospital_name,department_id,department_name,department_type,total_beds,occupied_beds_count,bed_occupancy_rate_pct,patients_admitted_count,patients_discharged_count,readmission_count,readmission_rate_pct,mortality_count,mortality_rate_pct,avg_length_of_stay_days,avg_treatment_time_hours,transfer_events_count,nurses_on_duty,doctors_on_duty,staff_to_patient_ratio,equipment_downtime_hours,avg_satisfaction_score,department_efficiency_score
2026-01-01,H001,CityCare General Hospital,D01,Emergency Department,Emergency,35,19,54.29,5,5,1,20.0,0,0.0,3.22,25.29,6,9,3,2.4,3.65,4.26,68.53
2026-01-08,H002,Green Valley Medical Center,D04,Orthopedics,Specialty,35,23,65.71,3,5,0,0.0,0,0.0,3.7,5.15,7,6,4,3.333,0.0,4.65,81.52
2026-01-15,H003,Sunrise Multi-Specialty Hospital,D07,General Surgery,Surgical,40,29,72.5,12,12,1,8.33,0,0.0,2.45,23.54,7,8,5,1.083,3.74,4.36,78.44
2026-01-22,H001,CityCare General Hospital,D03,Cardiology,Specialty,30,16,53.33,5,2,0,0.0,0,0.0,5.66,13.58,6,7,2,1.8,2.07,3.95,70.45
2026-01-29,H002,Green Valley Medical Center,D06,Pediatrics,Medical,30,18,60.0,5,4,1,20.0,0,0.0,7.7,13.6,4,4,4,1.6,2.66,4.29,64.27
2026-02-05,H003,Sunrise Multi-Specialty Hospital,D02,General Medicine,Medical,50,33,66.0,9,9,0,0.0,1,11.11,3.31,19.53,4,8,4,1.333,3.98,3.34,75.94
2026-02-12,H001,CityCare General Hospital,D05,ICU,Critical Care,20,17,85.0,3,5,0,0.0,0,0.0,6.49,30.13,13,6,3,3.0,0.5,4.43,82.59
2026-02-19,H002,Green Valley Medical Center,D01,Emergency Department,Emergency,35,24,68.57,7,6,1,14.29,0,0.0,6.63,11.38,4,10,3,1.857,1.91,4.3,71.48
2026-02-26,H003,Sunrise Multi-Specialty Hospital,D04,Orthopedics,Specialty,35,20,57.14,5,4,0,0.0,0,0.0,1.57,4.29,2,6,2,1.6,3.65,4.47,76.41
2026-03-05,H001,CityCare General Hospital,D07,General Surgery,Surgical,40,25,62.5,9,13,0,0.0,0,0.0,4.14,17.5,4,6,3,1.0,2.92,3.99,74.96
2026-03-12,H002,Green Valley Medical Center,D03,Cardiology,Specialty,30,27,90.0,8,4,1,12.5,0,0.0,7.13,16.3,5,7,4,1.375,0.96,3.68,79.99
2026-03-19,H003,Sunrise Multi-Specialty Hospital,D06,Pediatrics,Medical,30,26,86.67,4,4,0,0.0,0,0.0,2.67,10.81,6,4,4,2.0,4.16,4.12,84.01
2026-03-26,H001,CityCare General Hospital,D02,General Medicine,Medical,50,38,76.0,11,12,3,27.27,0,0.0,6.09,15.01,3,11,4,1.364,2.15,3.4,72.05
2026-04-02,H002,Green Valley Medical Center,D05,ICU,Critical Care,20,17,85.0,4,4,0,0.0,0,0.0,9.95,19.64,6,2,2,1.0,1.7,4.24,74.62
2026-04-09,H003,Sunrise Multi-Specialty Hospital,D01,Emergency Department,Emergency,35,32,91.43,7,9,0,0.0,0,0.0,5.99,9.17,7,7,2,1.286,0.24,3.96,86.13
2026-04-16,H001,CityCare General Hospital,D04,Orthopedics,Specialty,35,21,60.0,8,5,0,0.0,0,0.0,4.51,17.44,9,5,3,1.0,2.17,4.0,74.64
2026-04-23,H002,Green Valley Medical Center,D07,General Surgery,Surgical,40,33,82.5,7,5,0,0.0,0,0.0,6.29,10.14,9,7,4,1.571,2.72,4.03,78.52
2026-04-30,H003,Sunrise Multi-Specialty Hospital,D03,Cardiology,Specialty,30,18,60.0,6,4,0,0.0,0,0.0,2.58,7.07,5,5,2,1.167,1.39,4.46,79.26
2026-05-07,H001,CityCare General Hospital,D06,Pediatrics,Medical,30,29,96.67,7,5,1,14.29,0,0.0,4.67,5.1,4,6,3,1.286,2.23,3.19,84.24
2026-05-14,H002,Green Valley Medical Center,D02,General Medicine,Medical,50,24,48.0,6,9,0,0.0,0,0.0,6.37,10.78,3,8,4,2.0,1.14,3.79,68.83
2026-05-21,H003,Sunrise Multi-Specialty Hospital,D05,ICU,Critical Care,20,16,80.0,5,5,2,40.0,0,0.0,3.89,13.16,3,4,1,1.0,1.41,3.67,75.94
2026-05-28,H001,CityCare General Hospital,D01,Emergency Department,Emergency,35,22,62.86,3,2,1,33.33,0,0.0,6.6,20.42,6,8,2,3.333,4.1,4.49,62.22
2026-06-04,H002,Green Valley Medical Center,D04,Orthopedics,Specialty,35,17,48.57,7,6,0,0.0,0,0.0,4.87,4.85,7,10,3,1.857,0.0,4.09,73.48
2026-06-11,H003,Sunrise Multi-Specialty Hospital,D07,General Surgery,Surgical,40,24,60.0,3,4,0,0.0,0,0.0,3.47,27.39,7,8,3,3.667,1.19,4.67,78.02
2026-06-18,H001,CityCare General Hospital,D03,Cardiology,Specialty,30,18,60.0,4,2,0,0.0,0,0.0,1.65,14.82,2,5,3,2.0,1.72,3.72,80.36
2026-06-25,H002,Green Valley Medical Center,D06,Pediatrics,Medical,30,22,73.33,5,5,1,20.0,0,0.0,3.54,10.09,3,6,2,1.6,3.65,4.38,74.63
2026-01-03,H003,Sunrise Multi-Specialty Hospital,D02,General Medicine,Medical,50,32,64.0,9,7,0,0.0,0,0.0,5.93,15.17,6,9,5,1.556,4.48,3.25,69.85
2026-01-10,H001,CityCare General Hospital,D05,ICU,Critical Care,20,10,50.0,6,1,0,0.0,0,0.0,7.33,11.46,5,5,3,1.333,3.0,3.78,64.87
2026-01-17,H002,Green Valley Medical Center,D01,Emergency Department,Emergency,35,29,82.86,7,7,0,0.0,0,0.0,1.57,3.89,6,8,2,1.429,0.19,4.6,90.95
2026-01-24,H003,Sunrise Multi-Specialty Hospital,D04,Orthopedics,Specialty,35,28,80.0,4,1,1,25.0,0,0.0,7.36,12.6,4,5,4,2.25,0.98,3.86,73.55
2026-01-31,H001,CityCare General Hospital,D07,General Surgery,Surgical,40,31,77.5,4,2,0,0.0,0,0.0,6.77,20.47,1,6,3,2.25,2.91,4.69,75.62
2026-02-07,H002,Green Valley Medical Center,D03,Cardiology,Specialty,30,15,50.0,8,5,0,0.0,0,0.0,1.76,5.25,3,5,3,1.0,4.15,3.54,72.78
2026-02-14,H003,Sunrise Multi-Specialty Hospital,D06,Pediatrics,Medical,30,23,76.67,9,9,1,11.11,0,0.0,4.75,25.9,5,9,4,1.444,0.0,4.01,81.3
2026-02-21,H001,CityCare General Hospital,D02,General Medicine,Medical,50,28,56.0,9,8,1,11.11,0,0.0,2.87,10.06,8,10,4,1.556,2.38,4.16,73.55
2026-02-28,H002,Green Valley Medical Center,D05,ICU,Critical Care,20,12,60.0,5,4,0,0.0,0,0.0,7.36,44.28,2,7,3,2.0,0.7,4.98,72.0
2026-03-07,H003,Sunrise Multi-Specialty Hospital,D01,Emergency Department,Emergency,35,33,94.29,3,4,0,0.0,2,50.0,8.18,27.12,3,6,3,3.0,1.12,4.18,81.89
2026-03-14,H001,CityCare General Hospital,D04,Orthopedics,Specialty,35,29,82.86,4,4,1,25.0,0,0.0,4.33,24.52,9,8,2,2.5,1.31,4.23,79.33
2026-03-21,H002,Green Valley Medical Center,D07,General Surgery,Surgical,40,35,87.5,5,9,0,0.0,0,0.0,1.77,25.03,5,6,4,2.0,0.0,3.94,92.53
2026-03-28,H003,Sunrise Multi-Specialty Hospital,D03,Cardiology,Specialty,30,22,73.33,7,7,0,0.0,1,14.29,6.33,23.23,2,6,4,1.429,0.62,4.49,78.6
2026-04-04,H001,CityCare General Hospital,D06,Pediatrics,Medical,30,24,80.0,10,6,0,0.0,0,0.0,8.64,26.89,5,9,3,1.2,2.31,4.44,74.18
2026-04-11,H002,Green Valley Medical Center,D02,General Medicine,Medical,50,43,86.0,11,10,2,18.18,0,0.0,8.7,25.1,3,10,6,1.455,5.58,4.26,67.31
2026-04-18,H003,Sunrise Multi-Specialty Hospital,D05,ICU,Critical Care,20,16,80.0,2,3,0,0.0,0,0.0,2.63,32.26,6,2,1,1.5,2.56,3.41,84.3
2026-04-25,H001,CityCare General Hospital,D01,Emergency Department,Emergency,35,26,74.29,8,6,2,25.0,0,0.0,9.42,21.44,3,6,3,1.125,0.15,3.98,69.28
2026-05-02,H002,Green Valley Medical Center,D04,Orthopedics,Specialty,35,19,54.29,6,9,0,0.0,0,0.0,5.46,16.23,4,7,2,1.5,1.42,5.0,72.17
2026-05-09,H003,Sunrise Multi-Specialty Hospital,D07,General Surgery,Surgical,40,22,55.0,6,3,1,16.67,0,0.0,6.51,22.65,8,6,3,1.5,0.04,4.48,69.46
2026-05-16,H001,CityCare General Hospital,D03,Cardiology,Specialty,30,18,60.0,7,5,0,0.0,0,0.0,9.31,11.94,6,5,4,1.286,3.95,4.47,63.39
2026-05-23,H002,Green Valley Medical Center,D06,Pediatrics,Medical,30,28,93.33,4,4,1,25.0,0,0.0,7.68,11.98,5,9,2,2.75,3.19,4.04,74.12
2026-05-30,H003,Sunrise Multi-Specialty Hospital,D02,General Medicine,Medical,50,25,50.0,10,9,1,10.0,0,0.0,4.96,29.44,6,9,5,1.4,3.2,4.02,66.7
2026-06-06,H001,CityCare General Hospital,D05,ICU,Critical Care,20,19,95.0,2,1,0,0.0,0,0.0,4.82,33.47,5,4,3,3.5,3.52,3.72,84.18
2026-06-13,H002,Green Valley Medical Center,D01,Emergency Department,Emergency,35,32,91.43,8,6,0,0.0,0,0.0,4.81,9.28,6,5,3,1.0,1.11,3.47,86.81
