hospital_id,hospital_name,department_referral,admission_date,total_admissions,average_age,average_wait_time,average_length_of_stay,average_satisfaction,readmitted_patients
HOSP-1000,The Johns Hopkins Hospital,gastroenterology,,1,88.0,60.0,28.0,1390.0,1.0
HOSP-1000,The Johns Hopkins Hospital,infectious disease,2022-12-18,1,64.0,30.0,1.0,500.0,1.0
HOSP-1003,The Johns Hopkins Hospital,neurology,2020-11-28,1,41.0,15.0,17.0,1280.0,0.0
HOSP-1004,The Johns Hopkins Hospital,allergy and immunology,2022-06-15,1,68.0,45.0,8.0,380.0,0.0
HOSP-1004,The Johns Hopkins Hospital,neurology,,1,49.0,75.0,8.0,880.0,0.0
HOSP-1005,The Johns Hopkins Hospital,cardiology or internal medicine,,1,47.0,45.0,27.0,240.0,1.0
HOSP-1005,The Johns Hopkins Hospital,neurology,2022-07-28,1,38.0,105.0,30.0,1350.0,0.0
HOSP-1006,The Johns Hopkins Hospital,endocrinology,,1,68.0,60.0,19.0,150.0,1.0
HOSP-1006,The Johns Hopkins Hospital,pulmonology or allergy and immunology,,1,6.0,75.0,8.0,650.0,0.0
HOSP-1007,The Johns Hopkins Hospital,cardiology,,1,54.0,90.0,25.0,1030.0,0.0
HOSP-1007,The Johns Hopkins Hospital,endocrinology,,1,34.0,60.0,18.0,880.0,1.0
HOSP-1007,The Johns Hopkins Hospital,gastroenterology,2020-09-18,1,87.0,30.0,29.0,1470.0,0.0
HOSP-1007,The Johns Hopkins Hospital,neurology,,1,19.0,90.0,25.0,160.0,0.0
HOSP-1009,The Johns Hopkins Hospital,infectious disease or internal medicine,,1,4.0,45.0,13.0,1300.0,0.0
HOSP-1009,The Johns Hopkins Hospital,pulmonology or allergy and immunology,,1,1.0,60.0,16.0,470.0,1.0
HOSP-1010,The Johns Hopkins Hospital,allergy and immunology,2023-07-23,1,12.0,105.0,15.0,1390.0,1.0
HOSP-1010,The Johns Hopkins Hospital,hepatology,2022-11-14,1,34.0,30.0,6.0,1460.0,1.0
HOSP-1011,The Johns Hopkins Hospital,cardiology or internal medicine,2022-07-22,1,72.0,60.0,25.0,900.0,0.0
HOSP-1011,The Johns Hopkins Hospital,infectious disease,,1,64.0,60.0,14.0,360.0,1.0
HOSP-1011,The Johns Hopkins Hospital,neurology,,1,89.0,75.0,13.0,120.0,0.0
HOSP-1012,The Johns Hopkins Hospital,pulmonology or infectious disease,2020-12-30,1,77.0,75.0,29.0,1180.0,1.0
HOSP-1013,The Johns Hopkins Hospital,psychiatry,,1,21.0,60.0,22.0,840.0,1.0
HOSP-1013,The Johns Hopkins Hospital,rheumatology,2021-11-15,1,80.0,75.0,22.0,1350.0,1.0
HOSP-1014,The Johns Hopkins Hospital,dermatology,2020-07-29,1,14.0,90.0,28.0,1550.0,0.0
HOSP-1014,The Johns Hopkins Hospital,neurology,,1,92.0,30.0,20.0,810.0,1.0
HOSP-1015,The Johns Hopkins Hospital,endocrinology,2021-05-24,1,9.0,75.0,12.0,710.0,1.0
HOSP-1017,The Johns Hopkins Hospital,neurology,,1,2.0,15.0,14.0,1250.0,0.0
HOSP-1017,The Johns Hopkins Hospital,psychiatry,2022-08-26,1,41.0,45.0,23.0,1090.0,0.0
HOSP-1017,The Johns Hopkins Hospital,pulmonology or allergy and immunology,,1,74.0,30.0,27.0,1310.0,1.0
HOSP-1019,The Johns Hopkins Hospital,infectious disease or internal medicine,,1,52.0,105.0,3.0,650.0,1.0
HOSP-1019,The Johns Hopkins Hospital,rheumatology,,1,69.0,105.0,27.0,950.0,0.0
HOSP-1020,The Johns Hopkins Hospital,allergy and immunology,2023-03-22,1,60.0,75.0,26.0,1000.0,0.0
HOSP-1022,The Johns Hopkins Hospital,rheumatology,,1,28.0,105.0,9.0,1270.0,1.0
HOSP-1026,The Johns Hopkins Hospital,gastroenterology,,1,4.0,75.0,22.0,350.0,1.0
HOSP-1028,The Johns Hopkins Hospital,cardiology or internal medicine,,1,54.0,60.0,30.0,1250.0,1.0
HOSP-1029,The Johns Hopkins Hospital,cardiology,2021-03-13,1,11.0,105.0,1.0,160.0,0.0
HOSP-1030,The Johns Hopkins Hospital,neurology,,1,55.0,105.0,14.0,1220.0,1.0
HOSP-1031,The Johns Hopkins Hospital,cardiology or internal medicine,,1,16.0,15.0,22.0,820.0,1.0
HOSP-1031,The Johns Hopkins Hospital,nephrology,2020-07-26,1,68.0,15.0,2.0,1090.0,0.0
HOSP-1031,The Johns Hopkins Hospital,neurology,,1,53.0,60.0,30.0,670.0,0.0
HOSP-1032,The Johns Hopkins Hospital,neurology,2023-06-27,1,39.0,105.0,4.0,1540.0,0.0
HOSP-1032,The Johns Hopkins Hospital,psychiatry,,1,10.0,105.0,26.0,1180.0,0.0
HOSP-1033,The Johns Hopkins Hospital,hepatology or gastroenterology,,1,26.0,120.0,30.0,1140.0,1.0
HOSP-1033,The Johns Hopkins Hospital,rheumatology,2021-06-24,1,34.0,105.0,29.0,170.0,1.0
HOSP-1033,The Johns Hopkins Hospital,rheumatology,,1,86.0,60.0,13.0,1070.0,0.0
HOSP-1034,The Johns Hopkins Hospital,gastroenterology,2021-06-21,1,90.0,15.0,10.0,610.0,0.0
HOSP-1034,The Johns Hopkins Hospital,neurology,2024-03-26,1,70.0,45.0,23.0,1140.0,1.0
HOSP-1035,The Johns Hopkins Hospital,oncology,2021-07-28,1,65.0,105.0,25.0,1520.0,0.0
