hospital_id,hospital_name,hospital_ward,admission_date,available_beds,occupied_beds,bed_utilization_rate
HOSP-1000,The Johns Hopkins Hospital,er,,390,320,82.05128205128204
HOSP-1000,The Johns Hopkins Hospital,icu,2022-12-18,110,290,263.6363636363636
HOSP-1003,The Johns Hopkins Hospital,pediatrics,2020-11-28,320,370,115.625
HOSP-1004,The Johns Hopkins Hospital,icu,2022-06-15,410,380,92.6829268292683
HOSP-1004,The Johns Hopkins Hospital,maternity,,250,200,80.0
HOSP-1005,The Johns Hopkins Hospital,er,2022-07-28,140,30,21.428571428571427
HOSP-1005,The Johns Hopkins Hospital,icu,,260,340,130.76923076923077
HOSP-1006,The Johns Hopkins Hospital,icu,,180,160,88.88888888888889
HOSP-1006,The Johns Hopkins Hospital,pediatrics,,260,10,3.8461538461538463
HOSP-1007,The Johns Hopkins Hospital,maternity,,370,310,83.78378378378379
HOSP-1007,The Johns Hopkins Hospital,pediatrics,,400,210,52.5
HOSP-1007,The Johns Hopkins Hospital,surgery,2020-09-18,450,250,55.55555555555556
HOSP-1009,The Johns Hopkins Hospital,er,,500,90,18.0
HOSP-1009,The Johns Hopkins Hospital,icu,,460,320,69.56521739130434
HOSP-1010,The Johns Hopkins Hospital,maternity,2022-11-14,250,160,64.0
HOSP-1010,The Johns Hopkins Hospital,surgery,2023-07-23,270,330,122.22222222222223
HOSP-1011,The Johns Hopkins Hospital,maternity,2022-07-22,120,140,116.66666666666667
HOSP-1011,The Johns Hopkins Hospital,pediatrics,,490,350,71.42857142857143
HOSP-1011,The Johns Hopkins Hospital,surgery,,260,140,53.84615384615385
HOSP-1012,The Johns Hopkins Hospital,er,2020-12-30,180,250,138.88888888888889
HOSP-1013,The Johns Hopkins Hospital,icu,2021-11-15,290,80,27.586206896551722
HOSP-1013,The Johns Hopkins Hospital,surgery,,440,270,61.36363636363637
HOSP-1014,The Johns Hopkins Hospital,maternity,,490,280,57.14285714285714
HOSP-1014,The Johns Hopkins Hospital,surgery,2020-07-29,130,60,46.15384615384615
HOSP-1015,The Johns Hopkins Hospital,icu,2021-05-24,250,290,115.99999999999999
HOSP-1017,The Johns Hopkins Hospital,icu,2022-08-26,480,380,79.16666666666666
HOSP-1017,The Johns Hopkins Hospital,icu,,230,20,8.695652173913043
HOSP-1019,The Johns Hopkins Hospital,surgery,,480,170,35.41666666666667
HOSP-1020,The Johns Hopkins Hospital,surgery,2023-03-22,290,100,34.48275862068966
