week,month,service,available_beds,patients_request,patients_admitted,patients_refused,patient_satisfaction,staff_morale,event,occupancy_rate,refusal_rate
1,1,emergency,32,76,32,44,67,70,none,1.0,0.5789
1,1,surgery,45,130,45,85,83,78,flu,1.0,0.6538
1,1,general_medicine,37,201,37,164,97,43,flu,1.0,0.8159
1,1,icu,22,31,22,9,84,91,flu,1.0,0.2903
2,1,emergency,28,169,28,141,75,64,none,1.0,0.8343
2,1,surgery,40,26,26,0,96,56,none,0.65,0.0
2,1,general_medicine,43,183,43,140,73,93,flu,1.0,0.765
2,1,icu,16,7,7,0,79,85,donation,0.4375,0.0
3,1,emergency,32,177,32,145,73,58,flu,1.0,0.8192
3,1,surgery,27,66,27,39,63,72,flu,1.0,0.5909
3,1,general_medicine,37,58,37,21,95,63,none,1.0,0.3621
3,1,icu,20,21,20,1,82,89,none,1.0,0.0476
4,1,emergency,32,157,32,125,83,75,none,1.0,0.7962
4,1,surgery,56,57,56,1,74,94,none,1.0,0.0175
4,1,general_medicine,43,152,43,109,67,66,flu,1.0,0.7171
4,1,icu,20,21,20,1,64,85,flu,1.0,0.0476
5,2,emergency,25,388,25,363,93,72,flu,1.0,0.9356
5,2,surgery,26,70,26,44,81,83,donation,1.0,0.6286
5,2,general_medicine,40,103,40,63,73,52,none,1.0,0.6117
5,2,icu,22,13,13,0,73,88,none,0.5909,0.0
6,2,emergency,34,198,34,164,72,76,flu,1.0,0.8283
6,2,surgery,27,58,27,31,96,81,donation,1.0,0.5345
6,2,general_medicine,69,90,69,21,72,81,none,1.0,0.2333
6,2,icu,14,12,12,0,87,51,none,0.8571,0.0
7,2,emergency,33,127,33,94,65,77,none,1.0,0.7402
7,2,surgery,37,46,37,9,89,60,none,1.0,0.1957
7,2,general_medicine,62,80,62,18,84,98,donation,1.0,0.225
7,2,icu,21,47,21,26,72,83,flu,1.0,0.5532
8,2,emergency,26,240,26,214,96,75,flu,1.0,0.8917
8,2,surgery,51,20,20,0,91,61,strike,0.3922,0.0
8,2,general_medicine,58,105,58,47,71,88,none,1.0,0.4476
8,2,icu,12,10,10,0,76,98,none,0.8333,0.0
9,3,emergency,28,113,28,85,82,86,none,1.0,0.7522
9,3,surgery,22,41,22,19,61,93,none,1.0,0.4634
9,3,general_medicine,38,78,38,40,63,60,none,1.0,0.5128
9,3,icu,11,20,11,9,97,73,none,1.0,0.45
10,3,emergency,17,130,17,113,81,60,none,1.0,0.8692
10,3,surgery,38,57,38,19,68,55,none,1.0,0.3333
10,3,general_medicine,35,64,35,29,95,68,none,1.0,0.4531
10,3,icu,13,8,8,0,91,56,none,0.6154,0.0
11,3,emergency,16,97,16,81,98,72,donation,1.0,0.8351
11,3,surgery,48,48,48,0,82,80,none,1.0,0.0
11,3,general_medicine,35,50,35,15,75,75,none,1.0,0.3
