resource_utilization_id,date,hospital_id,hospital_name,department_id,department_name,resource_type,resource_category,total_units_available,units_in_use,units_under_maintenance,utilization_rate_pct,shortage_flag,capacity_hours,utilized_hours,idle_hours,downtime_hours,nurses_on_duty_snapshot,doctors_on_duty_snapshot,overtime_hours,avg_response_time_minutes,resource_condition,maintenance_due_flag,last_maintenance_date
R000001,2020-01-05,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,23.5,192.5,0.0,1.0,1.0,0.0,6.6,Good,No,
R000002,2020-01-05,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,17.0,126.4,0.61,,,0.0,10.8,Good,No,2019-11-15
R000003,2020-01-05,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,16.1,191.7,0.0,1.0,1.0,0.8,5.0,,No,
R000004,2020-03-28,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.9,193.1,0.0,1.0,1.0,0.0,8.0,Good,No,
R000005,2020-03-28,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,20.0,123.2,0.82,,,0.0,8.1,Good,No,2020-01-11
R000006,2020-03-28,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,16.7,189.9,0.0,1.0,1.0,0.5,6.4,,No,
R000007,2020-04-11,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,0,0,0.0,No,216,0.0,216.0,0.0,1.0,1.0,0.0,3.1,Good,No,
R000008,2020-04-11,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,0,0,0.0,No,144,0.0,143.5,0.54,,,0.0,10.1,Good,No,2019-12-14
R000009,2020-04-11,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.3,194.1,0.0,1.0,1.0,1.1,7.3,,No,
R000010,2020-04-12,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.9,193.1,0.0,1.0,1.0,0.0,6.8,Good,No,
