hospital_id,hospital_name,date,year,quarter,month,month_name,day_of_week,department_id,department_name,department_type,total_beds,admissions_count,discharges_count,estimated_census,bed_occupancy_rate_pct,readmission_count,readmission_rate_pct,avg_length_of_stay_days,total_bill_amount,avg_bill_amount,diagnostic_test_count,doctor_headcount,nurse_headcount,staff_to_patient_ratio,department_efficiency_score
1,HMIS Hospital,2020-01-01,2020,1,1,January,Wednesday,1,Emergency,Clinical,75,6,0,6,8.0,0,0.0,,272078.0,45346.33,0,13,6,3.167,
1,HMIS Hospital,2020-01-02,2020,1,1,January,Thursday,1,Emergency,Clinical,75,6,1,11,14.67,0,0.0,1.0,236689.0,39448.17,0,13,6,1.727,63.87
1,HMIS Hospital,2020-01-03,2020,1,1,January,Friday,1,Emergency,Clinical,75,3,3,11,14.67,0,0.0,1.6666666666666667,64624.0,21541.33,0,13,6,1.727,62.53
1,HMIS Hospital,2020-01-04,2020,1,1,January,Saturday,1,Emergency,Clinical,75,1,2,10,13.33,0,0.0,1.5,29140.0,29140.0,0,13,6,1.9,62.33
1,HMIS Hospital,2020-01-05,2020,1,1,January,Sunday,1,Emergency,Clinical,75,4,2,12,16.0,0,0.0,3.0,222285.0,55571.25,0,13,6,1.583,60.4
1,HMIS Hospital,2020-01-06,2020,1,1,January,Monday,1,Emergency,Clinical,75,5,1,16,21.33,0,0.0,2.0,167975.0,33595.0,0,13,6,1.188,64.53
1,HMIS Hospital,2020-01-07,2020,1,1,January,Tuesday,1,Emergency,Clinical,75,6,0,22,29.33,0,0.0,,241098.0,40183.0,0,13,6,0.864,
1,HMIS Hospital,2020-01-08,2020,1,1,January,Wednesday,1,Emergency,Clinical,75,3,3,22,29.33,0,0.0,3.6666666666666665,126927.0,42309.0,0,13,6,0.864,64.4
1,HMIS Hospital,2020-01-09,2020,1,1,January,Thursday,1,Emergency,Clinical,75,3,6,19,25.33,0,0.0,5.666666666666667,81493.0,27164.33,0,13,6,1.0,58.8
1,HMIS Hospital,2020-01-10,2020,1,1,January,Friday,1,Emergency,Clinical,75,4,4,19,25.33,0,0.0,4.0,141984.0,35496.0,0,13,6,1.0,62.13
1,HMIS Hospital,2020-01-11,2020,1,1,January,Saturday,1,Emergency,Clinical,75,5,3,21,28.0,0,0.0,5.666666666666667,175166.0,35033.2,0,13,6,0.905,59.87
1,HMIS Hospital,2020-01-12,2020,1,1,January,Sunday,1,Emergency,Clinical,75,3,7,17,22.67,0,0.0,2.857142857142857,78915.0,26305.0,0,13,6,1.118,63.35
1,HMIS Hospital,2020-01-13,2020,1,1,January,Monday,1,Emergency,Clinical,75,4,2,19,25.33,0,0.0,5.5,58495.0,14623.75,0,13,6,1.0,59.13
1,HMIS Hospital,2020-01-14,2020,1,1,January,Tuesday,1,Emergency,Clinical,75,3,5,17,22.67,0,0.0,5.6,90320.0,30106.67,0,13,6,1.118,57.87
1,HMIS Hospital,2020-01-15,2020,1,1,January,Wednesday,1,Emergency,Clinical,75,8,5,20,26.67,0,0.0,6.4,184727.0,23090.88,0,13,6,0.95,57.87
1,HMIS Hospital,2020-01-16,2020,1,1,January,Thursday,1,Emergency,Clinical,75,3,5,18,24.0,0,0.0,3.6,126527.0,42175.67,0,13,6,1.056,62.4
1,HMIS Hospital,2020-01-17,2020,1,1,January,Friday,1,Emergency,Clinical,75,7,3,22,29.33,0,0.0,3.6666666666666665,311876.0,44553.71,0,13,6,0.864,64.4
1,HMIS Hospital,2020-01-18,2020,1,1,January,Saturday,1,Emergency,Clinical,75,5,6,21,28.0,0,0.0,4.0,275758.0,55151.6,0,13,6,0.905,63.2
1,HMIS Hospital,2020-01-19,2020,1,1,January,Sunday,1,Emergency,Clinical,75,3,0,24,32.0,0,0.0,,70942.0,23647.33,0,13,6,0.792,
1,HMIS Hospital,2020-01-20,2020,1,1,January,Monday,1,Emergency,Clinical,75,3,8,19,25.33,0,0.0,5.125,136526.0,45508.67,0,13,6,1.0,59.88
1,HMIS Hospital,2020-01-21,2020,1,1,January,Tuesday,1,Emergency,Clinical,75,3,6,16,21.33,0,0.0,3.0,153294.0,51098.0,0,13,6,1.188,62.53
1,HMIS Hospital,2020-01-22,2020,1,1,January,Wednesday,1,Emergency,Clinical,75,6,2,20,26.67,0,0.0,6.5,234584.0,39097.33,0,13,6,0.95,57.67
1,HMIS Hospital,2020-01-23,2020,1,1,January,Thursday,1,Emergency,Clinical,75,5,0,25,33.33,0,0.0,,235848.0,47169.6,0,13,6,0.76,
1,HMIS Hospital,2020-01-24,2020,1,1,January,Friday,1,Emergency,Clinical,75,9,8,26,34.67,0,0.0,5.125,251045.0,27893.89,0,13,6,0.731,63.62
1,HMIS Hospital,2020-01-25,2020,1,1,January,Saturday,1,Emergency,Clinical,75,5,8,23,30.67,0,0.0,4.0,202206.0,40441.2,0,13,6,0.826,64.27
1,HMIS Hospital,2020-01-26,2020,1,1,January,Sunday,1,Emergency,Clinical,75,2,5,20,26.67,0,0.0,3.4,26950.0,13475.0,0,13,6,0.95,63.87
1,HMIS Hospital,2020-01-27,2020,1,1,January,Monday,1,Emergency,Clinical,75,1,3,18,24.0,0,0.0,6.666666666666667,65372.0,65372.0,0,13,6,1.056,56.27
1,HMIS Hospital,2020-01-28,2020,1,1,January,Tuesday,1,Emergency,Clinical,75,5,3,20,26.67,1,20.0,5.333333333333333,237251.0,47450.2,0,13,6,0.95,54.0
1,HMIS Hospital,2020-01-29,2020,1,1,January,Wednesday,1,Emergency,Clinical,75,4,3,21,28.0,0,0.0,6.333333333333333,138840.0,34710.0,0,13,6,0.905,58.53
1,HMIS Hospital,2020-01-30,2020,1,1,January,Thursday,1,Emergency,Clinical,75,4,6,19,25.33,1,25.0,4.166666666666667,161648.0,40412.0,0,13,6,1.0,54.3
1,HMIS Hospital,2020-01-31,2020,1,1,January,Friday,1,Emergency,Clinical,75,4,5,18,24.0,0,0.0,4.4,132085.0,33021.25,0,13,6,1.056,60.8
1,HMIS Hospital,2020-02-01,2020,1,2,February,Saturday,1,Emergency,Clinical,75,4,2,20,26.67,0,0.0,8.0,126796.0,31699.0,0,13,6,0.95,54.67
1,HMIS Hospital,2020-02-02,2020,1,2,February,Sunday,1,Emergency,Clinical,75,3,4,19,25.33,0,0.0,4.75,125129.0,41709.67,0,13,6,1.0,60.63
1,HMIS Hospital,2020-02-03,2020,1,2,February,Monday,1,Emergency,Clinical,75,1,3,17,22.67,0,0.0,5.666666666666667,41785.0,41785.0,0,13,6,1.118,57.73
1,HMIS Hospital,2020-02-04,2020,1,2,February,Tuesday,1,Emergency,Clinical,75,5,2,20,26.67,0,0.0,6.5,199737.0,39947.4,0,13,6,0.95,57.67
1,HMIS Hospital,2020-02-05,2020,1,2,February,Wednesday,1,Emergency,Clinical,75,5,5,20,26.67,0,0.0,5.0,203129.0,40625.8,0,13,6,0.95,60.67
1,HMIS Hospital,2020-02-06,2020,1,2,February,Thursday,1,Emergency,Clinical,75,4,2,22,29.33,0,0.0,5.5,120005.0,30001.25,0,13,6,0.864,60.73
1,HMIS Hospital,2020-02-07,2020,1,2,February,Friday,1,Emergency,Clinical,75,6,8,20,26.67,0,0.0,4.25,349650.0,58275.0,0,13,6,0.95,62.17
1,HMIS Hospital,2020-02-08,2020,1,2,February,Saturday,1,Emergency,Clinical,75,5,1,24,32.0,0,0.0,9.0,214029.0,42805.8,0,13,6,0.792,54.8
1,HMIS Hospital,2020-02-09,2020,1,2,February,Sunday,1,Emergency,Clinical,75,11,3,32,42.67,0,0.0,2.3333333333333335,324879.0,29534.45,0,13,6,0.594,72.4
1,HMIS Hospital,2020-02-10,2020,1,2,February,Monday,1,Emergency,Clinical,75,2,8,26,34.67,0,0.0,4.25,60032.0,30016.0,0,13,6,0.731,65.37
1,HMIS Hospital,2020-02-11,2020,1,2,February,Tuesday,1,Emergency,Clinical,75,5,2,29,38.67,1,20.0,5.5,198176.0,39635.2,0,13,6,0.655,58.47
1,HMIS Hospital,2020-02-12,2020,1,2,February,Wednesday,1,Emergency,Clinical,75,3,5,27,36.0,0,0.0,7.4,158352.0,52784.0,0,13,6,0.704,59.6
1,HMIS Hospital,2020-02-13,2020,1,2,February,Thursday,1,Emergency,Clinical,75,3,4,26,34.67,0,0.0,5.5,147040.0,49013.33,0,13,6,0.731,62.87
1,HMIS Hospital,2020-02-14,2020,1,2,February,Friday,1,Emergency,Clinical,75,3,4,25,33.33,1,33.33,7.5,123515.0,41171.67,0,13,6,0.76,48.33
1,HMIS Hospital,2020-02-15,2020,1,2,February,Saturday,1,Emergency,Clinical,75,3,5,23,30.67,0,0.0,4.2,200232.0,66744.0,0,13,6,0.826,63.87
