date,hospital_id,hospital_name,department_id,department_name,department_type,total_beds,occupied_beds_count,bed_occupancy_rate_pct,patients_admitted_count,patients_discharged_count,readmission_count,readmission_rate_pct,mortality_count,mortality_rate_pct,avg_length_of_stay_days,avg_treatment_time_hours,transfer_events_count,nurses_on_duty,doctors_on_duty,staff_to_patient_ratio,equipment_downtime_hours,avg_satisfaction_score,department_efficiency_score,external_benchmark_available_beds,external_benchmark_patients_refused
2020-01-01,1,HMIS Hospital,1,Emergency,Clinical,75,6,8.0,6,0,,,,,,,,,,,,,,,
2020-01-02,1,HMIS Hospital,1,Emergency,Clinical,75,12,16.0,6,1,0.0,0.0,,,1.0,,,,,,,,,,
2020-01-03,1,HMIS Hospital,1,Emergency,Clinical,75,14,18.67,3,3,0.0,0.0,,,1.6666666666666667,,,,,,,,,,
2020-01-04,1,HMIS Hospital,1,Emergency,Clinical,75,12,16.0,1,2,0.0,0.0,,,1.5,,,,,,,,,,
2020-01-05,1,HMIS Hospital,1,Emergency,Clinical,75,14,18.67,4,2,0.0,0.0,,,3.0,,,,,,,,,,
2020-01-06,1,HMIS Hospital,1,Emergency,Clinical,75,17,22.67,5,1,0.0,0.0,,,2.0,,,,,,,,,,
2020-01-07,1,HMIS Hospital,1,Emergency,Clinical,75,22,29.33,6,0,,,,,,,,,,,,,,,
2020-01-08,1,HMIS Hospital,1,Emergency,Clinical,75,25,33.33,3,3,0.0,0.0,,,3.6666666666666665,,,,,,,,,,
2020-01-09,1,HMIS Hospital,1,Emergency,Clinical,75,25,33.33,3,6,0.0,0.0,,,5.666666666666667,,,,,,,,,,
2020-01-10,1,HMIS Hospital,1,Emergency,Clinical,75,23,30.67,4,4,0.0,0.0,,,4.0,,,,,,,,,,
2020-01-11,1,HMIS Hospital,1,Emergency,Clinical,75,24,32.0,5,3,0.0,0.0,,,5.666666666666667,,,,,,,,,,
2020-01-12,1,HMIS Hospital,1,Emergency,Clinical,75,24,32.0,3,7,0.0,0.0,,,2.857142857142857,,,,,,,,,,
2020-01-13,1,HMIS Hospital,1,Emergency,Clinical,75,21,28.0,4,2,0.0,0.0,,,5.5,,,,,,,,,,
