resource_utilization_id,hospital_id,hospital_name,resource_type,date,department_id,department_name,ward_id,ward_name,shift,total_units_available,units_in_use,utilization_rate_pct,doctor_count,nurse_count,technician_count,pharmacist_count,admin_count,drug_id,drug_name,drug_category,reorder_level_threshold,shortage_flag,manufacturer_name,reliability_rating
1,1,HMIS Hospital,Bed,2020-01-01,1,Emergency,,,,75,6,8.0,,,,,,,,,,,,
2,1,HMIS Hospital,Bed,2020-01-02,1,Emergency,,,,75,11,14.67,,,,,,,,,,,,
3,1,HMIS Hospital,Bed,2020-01-03,1,Emergency,,,,75,11,14.67,,,,,,,,,,,,
4,1,HMIS Hospital,Bed,2020-01-04,1,Emergency,,,,75,10,13.33,,,,,,,,,,,,
5,1,HMIS Hospital,Bed,2020-01-05,1,Emergency,,,,75,12,16.0,,,,,,,,,,,,
6,1,HMIS Hospital,Bed,2020-01-06,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
7,1,HMIS Hospital,Bed,2020-01-07,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
8,1,HMIS Hospital,Bed,2020-01-08,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
9,1,HMIS Hospital,Bed,2020-01-09,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
10,1,HMIS Hospital,Bed,2020-01-10,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
11,1,HMIS Hospital,Bed,2020-01-11,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
12,1,HMIS Hospital,Bed,2020-01-12,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
13,1,HMIS Hospital,Bed,2020-01-13,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
14,1,HMIS Hospital,Bed,2020-01-14,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
15,1,HMIS Hospital,Bed,2020-01-15,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
16,1,HMIS Hospital,Bed,2020-01-16,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
17,1,HMIS Hospital,Bed,2020-01-17,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
18,1,HMIS Hospital,Bed,2020-01-18,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
19,1,HMIS Hospital,Bed,2020-01-19,1,Emergency,,,,75,24,32.0,,,,,,,,,,,,
20,1,HMIS Hospital,Bed,2020-01-20,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
21,1,HMIS Hospital,Bed,2020-01-21,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
22,1,HMIS Hospital,Bed,2020-01-22,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
23,1,HMIS Hospital,Bed,2020-01-23,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
24,1,HMIS Hospital,Bed,2020-01-24,1,Emergency,,,,75,26,34.67,,,,,,,,,,,,
25,1,HMIS Hospital,Bed,2020-01-25,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
26,1,HMIS Hospital,Bed,2020-01-26,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
27,1,HMIS Hospital,Bed,2020-01-27,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
28,1,HMIS Hospital,Bed,2020-01-28,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
29,1,HMIS Hospital,Bed,2020-01-29,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
30,1,HMIS Hospital,Bed,2020-01-30,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
31,1,HMIS Hospital,Bed,2020-01-31,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
32,1,HMIS Hospital,Bed,2020-02-01,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
33,1,HMIS Hospital,Bed,2020-02-02,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
34,1,HMIS Hospital,Bed,2020-02-03,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
35,1,HMIS Hospital,Bed,2020-02-04,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
36,1,HMIS Hospital,Bed,2020-02-05,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
37,1,HMIS Hospital,Bed,2020-02-06,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
38,1,HMIS Hospital,Bed,2020-02-07,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
39,1,HMIS Hospital,Bed,2020-02-08,1,Emergency,,,,75,24,32.0,,,,,,,,,,,,
40,1,HMIS Hospital,Bed,2020-02-09,1,Emergency,,,,75,32,42.67,,,,,,,,,,,,
41,1,HMIS Hospital,Bed,2020-02-10,1,Emergency,,,,75,26,34.67,,,,,,,,,,,,
42,1,HMIS Hospital,Bed,2020-02-11,1,Emergency,,,,75,29,38.67,,,,,,,,,,,,
43,1,HMIS Hospital,Bed,2020-02-12,1,Emergency,,,,75,27,36.0,,,,,,,,,,,,
44,1,HMIS Hospital,Bed,2020-02-13,1,Emergency,,,,75,26,34.67,,,,,,,,,,,,
45,1,HMIS Hospital,Bed,2020-02-14,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
46,1,HMIS Hospital,Bed,2020-02-15,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
47,1,HMIS Hospital,Bed,2020-02-16,1,Emergency,,,,75,26,34.67,,,,,,,,,,,,
48,1,HMIS Hospital,Bed,2020-02-17,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
49,1,HMIS Hospital,Bed,2020-02-18,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
50,1,HMIS Hospital,Bed,2020-02-19,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
